标题,标题链接,查看数,参与数,需求价格,详情标题,需求者,交易价格,交易价格备选,发布时间,需求文本,任务编号,设计师1,设计师2
【LOGO设计】浙江快餐连锁自助食堂，征集LOGO,https://task.epwk.com/1072151/,11078人,57人,"¥2,000",浙江快餐连锁自助食堂，征集LOGO,o5c18****2f9c6,￥ 2000,￥ 2000,2024.02.25,"1、快餐店名三选一：1）秘议  福邻门； 2）秘议  八鲜过海；3）秘议  浙也太香了    2、广告语：花小钱   吃大餐 3、人群：45岁以下，已婚中青年男，中低收入、中低学历、一线基层打工人，中低定价：午餐20元左右/人4、主打大众家常菜：如红烧肉、酸辣土豆丝、麻辣豆腐、鱼香肉丝、小炒肉、地三鲜、江浙菜等 LOGO设计要求：1、店名三选一：“秘议”字号尽量小；“福邻门”或“八鲜过海”或“浙也太香了”字号尽量大2、设计要求同时出现1）LOGO，和2）广告语。广告语可设计进LOGO中，作为LOGO的一部分；也可放在LOGO旁，但必须与LOGO同时展现；3、LOGO+广告语，要放在“餐厅牌匾门头”中，展示2款以上的应用效果图 版权： 1、创意作品必须为投标者原创，且第一次发布，必须先查询国家商标局官网，且无侵权。 2、中标的创意作品，我方支付创意费，即拥有该作品的知识产权，包括著作权，使用权和发布权等，有权对设计作品进行修改,组合和应用；设计者不得再向其他任何地方使用该设计作品。一、二等奖都需配合提供源文件",任务编号：1072151,木友情品牌设计,小余的小店
【LOGO设计】店铺LOGO设计,https://task.epwk.com/1071867/,2118人,38人,"¥1,000",店铺LOGO设计,o598848b6bf977,￥ 1000,￥ 1000,2024.02.21,行业：桶装水配送、团购店铺名称：恐龙送水、恐龙团购需求：简单、易于记忆、要有辨识度、其他不限、自由发挥,任务编号：1071867,雨夜设计工作室,一念阁 | 设计
"【LOGO设计】""御来福”--水产食品生产企业商标设计",https://task.epwk.com/1071770/,1950人,41人,"¥1,000","""御来福”--水产食品生产企业商标设计",o58e4b1cd0b37c,￥ 1000,￥ 1000,2024.02.20,"1、企业商标设计：御来福 ，公司主营水产品的食品生产。2、设计要求该LOGO涉及商标注册，务必原创，不得在其它公司已设计好的logo上增减笔画、变换颜色等。建议LOGO体现行业属性。如有好的创意可不拘泥于此。1）简约直观、大气、易识别、有内涵；希望带有图案或图形均可。2）在黑色和白色底色下均能良好显示；3）在小尺寸下能良好显示；4）在众多情况下能良好显示（如产品包装，广告、名片等）5）符合企业的经营理念、文化特色、价值取向，反映行业属性6）不要抄袭，可注册。欣赏脑洞。希望传达的是一种沉稳，安静，值得信任的感觉。以最终呈现的效果为准。对于颜色，希望不要过分花哨，过分艳丽。一二等奖都需要源文件。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任；2、中标的设计作品，我方支付悬赏金，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用；设计者不得再向其他任何地方使用该设计作品 。",任务编号：1071770,艺科设计师,小角牛向前
【产品外观设计】安防门禁产品外观设计,https://task.epwk.com/1071707/,1072人,11人,"¥6,000",,,,,,,,,
【LOGO设计】设计纸币上05959头的数字纪念钞,https://task.epwk.com/1071634/,3875人,34人,"¥1,440",,,,,,,,,
"【LOGO设计】""御来厨”食品生产企业商标设计",https://task.epwk.com/1071042/,2488人,35人,"¥1,000",,,,,,,,,
【LOGO设计】商标LOGO设计,https://task.epwk.com/1064186/,3868人,27人,¥666,,,,,,,,,
【LOGO设计】普宁英歌文化节形象标识（LOGO）征集,https://task.epwk.com/1064063/,2636人,36人,"¥2,999",,,,,,,,,
【LOGO设计】公司logo设计,https://task.epwk.com/1059897/,1031人,24人,¥500,,,,,,,,,
"【LOGO设计】""饭圈虾""食品生产企业商标设计",https://task.epwk.com/1059523/,2501人,36人,"¥1,000",,,,,,,,,
"【LOGO设计】""一刀""食品加工厂商标设计",https://task.epwk.com/1059512/,1987人,42人,"¥1,000",,,,,,,,,
【产品外观设计】狗狗毛绒玩具,https://task.epwk.com/1059244/,1010人,8人,¥500,,,,,,,,,
【封面设计】书籍封面设计：讲述色彩美学的书籍，优秀者长期合作，出版社,https://task.epwk.com/1059233/,2895人,29人,"¥1,299",,,,,,,,,
【动漫角色设计】创作心目中理想手办！！,https://task.epwk.com/1057414/,9246人,24人,"¥5,500",,,,,,,,,
【产品外观设计】猫玩具-猫咪星球主题系列,https://task.epwk.com/1056949/,934人,6人,¥500,,,,,,,,,
【LOGO设计】科技公司LOGO,https://task.epwk.com/1056441/,2066人,29人,¥600,,,,,,,,,
【LOGO设计】线上商城品牌LOGO设计,https://task.epwk.com/1055010/,3152人,48人,¥700,,,,,,,,,
"【海报设计】""桃花开""桃汁饮品主视觉（主KV）/主海报设计",https://task.epwk.com/1050779/,10836人,64人,"¥4,800",,,,,,,,,
【LOGO设计】KVM的logo征集 2000元,https://task.epwk.com/1050618/,3509人,55人,"¥2,400",,,,,,,,,
【LOGO设计】心理服务平台logo设计,https://task.epwk.com/1050219/,1427人,21人,¥500,,,,,,,,,
【LOGO设计】传食者LOGO设计,https://task.epwk.com/1048444/,7846人,72人,"¥2,000",,,,,,,,,
【LOGO设计】yood的Logo设计3000元,https://task.epwk.com/1047451/,7148人,104人,"¥3,000",,,,,,,,,
【海报设计】门头彩绘设计,https://task.epwk.com/1044164/,5345人,13人,¥600,,,,,,,,,
【卡通形象设计】游戏卡册产品外观图案平面设计,https://task.epwk.com/1044135/,4001人,23人,"¥3,000",,,,,,,,,
【LOGO设计】北港村“ ⼀⾥花厢”廉园LOGO设计,https://task.epwk.com/1043782/,1458人,19人,¥500,,,,,,,,,
【LOGO设计】兴火训练营LOGO设计,https://task.epwk.com/1041880/,976人,11人,¥500,,,,,,,,,
【LOGO设计】爱国村LOGO设计,https://task.epwk.com/1041548/,3641人,37人,¥600,,,,,,,,,
【标签设计】汽车公司标签设计,https://task.epwk.com/1041375/,832人,8人,¥300,,敏邦嘉0STxx,￥ 300,￥ 300,2023.05.17,"标签尺寸 50毫米  85毫米 的长方形， 四个角是圆角必须包含的内容：  公司 Logo （在附件里面），公司地址联系信息（如下）， 二维码（在附件里面） 一个防伪团花（在附件里面），一个带刮刮涂层的二维码（在附件里面），必须在醒目的位置放文字：”正品配件“公司地址信息如下： 北京福田戴姆勒汽车有限公司BEIJING FOTON DAIMLER AUTOMOTIVE CO., LTD地址：中国北京市怀柔区红螺东路21号 ADD: No. 21 Hongluo Est Road, Huairou,Beijing, PRC 网址 Website : www.bfda.cn24小时服务电话：4008-900-966其他可以按你的设计喜好， 添加纹路， 底色，装饰logo，线条 要求整张标签颜色不能超过4种，标签中间部分需要留空白，参考附件中的图片",任务编号：1041375,charles_zhang,荔枝图设
【卡通形象设计】2023首届威客AI数字人创意设计大赛,https://task.epwk.com/1040056/,16041人,61人,"¥22,000",,epqihua,￥ 22000,￥ 22000,2023.05.09,后疫情时代下，元宇宙成为互联网WEB3.0的应用与社会形态，数字人行业快速爆发，数字人商业价值逐步显现。随着数字人的精细度和智能化水平不断提升，一大批数字人走上不同工作“岗位”，在各行业广泛的应用。如：数字主播、数字主持人、数字员工、数字博物官、数字客服等等。 那么，在你的心目中，数字人的形象又是怎样的呢？拿起画笔！释放你的想象力，和我们一起进入赛博朋克的世界，打造数字人形象，描绘出未来的无限种可能。 一、大赛时间安排 作品征集：即日起-2023年9月10日 作品评选：2023年9月中旬获奖公示：2023年9月下旬 二、奖项设置 一等奖（1名）：现金（8000元）+定制荣誉证书二等奖（2名）：现金（3000元）+定制荣誉证书三等奖（3名）：现金（1000元）+定制荣誉证书优秀奖（10名）：现金（500元）+定制荣誉证书奖金说明：所有奖金均为税前金额，个人所得税由主办方代扣代缴。 三、参赛主题 （一）参赛者须以“数字孪生，智领未来”为主题，创作心目中理想的AI数字人IP形象，并对形象角色的来源设定、背景故事进行必要的阐述，形象需具有虚拟感、未来感，角色可以是人物、动物、物品或其他多元素组合或创新。 （二）作品提交要求：1、数字人形象呈现形式包括但不限于：2D真人、2D卡通、3D卡通、3D风格化、3D写实、3D超写实、3D高保真。2、作品使用软件不限，表现手法不限（包括但不限于平面、插画、3D等），参赛设计师可自由发挥，选择最擅长的表现手法。3、需要尽可能完善数字人的整体视觉系统，并酌情为其制作相对丰富的延展（应用场景、形式等）4、参赛者需绘制三视图（包括但不限于：正面、侧面、背面），并提交彩色电子版效果图，图片要能体现作品的局部及整体效果。5、电子文档要求：A3画幅，大小不超过10M，300DPI，RGB模式。需保留300DPI分辨率可用于印刷生产的位图源文件或矢量文件或工程文件。6、为方便评审专家详细了解您的创作思路，建议提交作品时同时提交作品的设计思路。 （三）知识产权要求：1、参赛者提交的参赛作品均须未被商用或授权他人使用，必须为参赛者原创作品。参赛者不得抄袭、盗用他人作品，且作品版权未移交他人（如作品中含有素材元素<非原创部分>，参赛者需拥有该素材版权的使用授权许可）。2、主办方有作品展示、及其他形式的非商业用途推广、宣传、展览、复制等权利，并不另付稿酬，不受地域限制。3、获奖的设计作品，赛事主办方支付奖金后，赛事主办方即拥有该作品的完整著作权，包括该著作权的财产权及人身权。征集结果公布后，未获奖的作品，即可自行处理。 四、评审标准1、形象设计：造型、色彩是传递给用户最直观的感受，简洁性、超高的辨识度和可延展性是能够引起用户注意所具备的重要特征。2、功能设计：数字人所在的应用场景下其产品功能是否明确、是否能够有效并可靠地完成功能任务以及其完成效率高低程度等表现。3、交互设计：数字人交互技术的易用性、操作的友好性及其可用性是交互设计中考虑的重点。4、市场价值：数字人的可延展及应用性强，设计方案可投入实际使用，拥有不断创新的能力、丰富的内容输出能力。5、关键技术：从建模、驱动、渲染等技术的视角去挖掘数字人技术的独特性和领先性。 拿起画笔释放你的想象力，和我们一起进入赛博朋克的世界，打造数字人形象描绘出未来的无限种可能！,任务编号：1040056,赞歌创意,温暖闲生工作室
【LOGO设计】贵妃颂商标LOGO设计,https://task.epwk.com/1039642/,2136人,25人,¥700,,mf186****0888,￥ 700,￥ 700,2023.05.08,1、商标主要经营：茶叶、休闲零食；2、最好设计成古风图案，其它风格优秀的也可以；3、图案要包含行业及商标名寓意；4、要求简约、古朴、好记，有特色。,任务编号：1039642,零壹设计中心,宇易品牌策划
【主图设计】拿铁咖啡直通车图主图设计,https://task.epwk.com/1036724/,3217人,45人,¥600,,feixu22,￥ 600,￥ 600,2023.04.12,拿铁咖啡直通车主图设计：原装进口：2个口味中的任意一个口味。【焦糖玛奇朵，双倍特浓任选1款设计】需要2张图：800：800，     750：1000-----------------------要求：简介大气，有质感。 注重 颜色搭配鲜明 。与搜索出来的同类有明显区别。文案，及参考见附件。【也可以完全跳开这个来设计】一二等奖都需要提供源文件,任务编号：1036724,彩虹工作室,o5d8b5e11a5d69
