标题,标题链接,查看数,参与数,需求价格,需求者,交易价格,交易价格备选,发布时间,需求时间,任务编号,字段8,字段7,字段9,字段10,字段11,字段12,字段13,��段14,字段15,字段16
【APP推广】更省APP注册，简单易做，一稿3元,https://task.epwk.com/714875/,1562人,45人,¥501,o5c4048f4f1791,￥ 501,￥66,2019.02.26,"更省APP一款网购既能省钱又能赚钱的购物APP！更省与百万商家合作，每天上新专享优惠券商品，全部人工筛选，让您购物更省钱。更省APP覆盖淘京拼全网90%以上优惠券商品，超级搜全网商品优惠券，想买的都能找到优惠券。更省优势：专享优惠券,让您领券购物省90%要求：应用下载更省APP，注册过程中填写邀请码，通过邀请码注册，注册后需[手机淘]授权登陆，才算成功。手机从应用商城搜索：更省，输入省钱密令【邀请码】：11119999（必须是用这个邀请码注册）交稿格式：手机尾数后4位以及注册成功的截图页面。请勿虚假交稿，后台可查询数据。备注：一个一品威客ID只能参加一次任务。有疑问加V:294409939 验证：任务",任务编号：714875,彼我思尔,king344968709,TiAmon,"个人 |            
            慕容苓泽",逍遥设计,诚惶诚恐,wq云朵,太阳光,"个人 |            
            昊涵品牌设计","个人 |            
            羽毛传达"
【微信推广】高单价微信好友群发 一稿4元,https://task.epwk.com/714891/,1298人,24人,¥550,o5c74e7642a70b,￥ 550,￥112.28,2019.02.26,1.最好记住你最后选的第200人的名字，这样发下一个200人的时候，你知道从哪里开始。2.发重了，不审核。每人可以多做，只审核群发200人。每群发200人为一稿！3.内容为文字 两张图片！文字内容和 2张图片必须全部群发发出去！每稿都要有4.内容见转发文章内容 图片见附件。任务步骤：1.进到微信界面》我》设置》通用》铺助功能》群发助手》开始群发》新建群发，每次最多可发200人。2.上传清晰的转发成功图片以及微信人数图片！缺一不可 作为完成任务的证据！转发文章内容：莆田厂家运动鞋直销质量保证，低价出售！宇宙内包邮！ 潮牌#一个一品账号限参加一次，重复无效，营销微信号无效。,任务编号：714891,mf189****8909,mf189****8909,"个人 |            
            一颗冰心","个人 |            
            一颗冰心",亲亲宝贝儿,o5c08acb49efa3,o5c08aa4477b3c,o5c08aa4477b3c,"个人 |            
            madk1102",mf159****8041
【APP推广】苹果用户APP试玩  一稿3元,https://task.epwk.com/714804/,706人,1人,¥501,a5407****9,￥ 501,￥3,2019.02.26,只要苹果用户！苹果用户！苹果用户！扫码加微信报名②加入试玩平台内接任务；任务最多时段：13-21时③打开下载好的任务试玩④试玩2-3分钟获得对应奖励，每单1到5元，做得多一天100-500元没问题⑤由试玩平台直接提现到微信或者某宝。无需注册，下载好只需停留页面三分钟左右，做完即可卸载，不占用内存。所有任务全部免费，不收任何费用！任务说明：识别下方二维码下载APP，注册，完成一个试玩任务（试玩的任务无需注册，下载好后停留3分钟既算成功），截图审核以我后台为标准，不可上传假图片  大约几分钟就可完成 正规应用。审核标准：提交截图，带用户名界面的，容易审核 秒过支付佣金,任务编号：714804,o5b988841c852e,,,,,,,,,
【产品推广】简单有效10元一单杭州地区大众点评网任务,https://task.epwk.com/714761/,1654人,8人,¥500,o549baaa16eb48,￥ 500,￥60,2019.02.26,要求：必须杭州地区威客才能做。具体步骤下载文档浏览再说一次：非常简单有效,任务编号：714761,"工作室 |            
            小小龙儿","个人 |            
            慕容苓泽","工作室 |            
            创意轩","工作室 |            
            @奥斯卡",千羽幻洵666,爱幽默1314,,,,
【微信推广】微信朋友圈转发公众号文章，3.33元1单，简单高效,https://task.epwk.com/714464/,2127人,41人,¥500,o5c73e4c9182dc,￥ 500,￥236.43,2019.02.25,搜索公众号“祝福开心每一天”并关注，转发当天发的第一篇文章（就是关注我公众号里的第一篇文章）至朋友圈，朋友圈设置所有人可见。（分组无效）正文内容：朋友推荐的，看了觉得蛮有意思的，学了不少，推荐一下。下方评论回复内容：多学点金融知识挺重要的，我是每篇都看了，不错要求：1.朋友圈好友人数大于200人，个人常用生活号（僵尸号，推销号不算）2. 转发到朋友圈保留24小时以上3.推广至朋友圈不要设置分组和观看权限，一定要公开！审核前不可删除发布内容；4、每个一品账号只允许参加一次活动！交稿格式：1、微信“我”界面截图一张2、好友数截图一张 ，（微信通讯录下拉到底，可以看到“xxx位联系人”）3、朋友圈保留24小时截图一张（注意：一定要能看到完整的发布内容）所有截图最上面必须显示手机上面的时间。,任务编号：714464,o5c7488196c470,"个人 |            
            李白工作坊","工作室 |            
            luo0710","工作室 |            
            小小龙儿","个人 |            
            慕容苓泽","个人 |            
            slosao","个人 |            
            denglong","个人 |            
            denglong",qwepoi2008,四川曾先生
【微信推广】高单价微信群发 一稿4元 可多做,https://task.epwk.com/714049/,1854人,32人,¥580,lalr123,￥ 580,￥272,2019.02.25,1.最好记住你最后选的第200人的名字，这样发下一个200人的时候，你知道从哪里开始。2.发重了，不审核。一个一品账号限参加2次（请勿重复提交），只审核群发200人。每群发200人为一稿！3.内容为文字+图片！文字内容和 1张图片必须全部群发发出去！每稿都要有4.内容见转发文章内容  图片见附件任务步骤：1.进到微信界面》我》设置》通用》铺助功能》群发助手》开始群发》新建群发，每次最多可发200人。2.上传清晰的转发成功图片以及微信人数图片！缺一不可 作为完成任务的证据！转发文章内容：发现一个非常棒的网站，里面揭秘了大量的赚钱项目套路，去看看有没有对自己有用的信息,任务编号：714049,翠花上酸菜,翠花上酸菜,"个人 |            
            会飞的梦",mf159****8041,"个人 |            
            会飞的梦",mf159****8041,昉0602,昉0602,心想事成008,心想事成008
【APP推广】花生日记app注册，每稿3元,https://task.epwk.com/712803/,2048人,65人,¥500,ypwk007,￥ 500,￥370.23,2019.02.23,天猫淘宝用户省钱必备APP【花生日记】注册。详情参考下图注册邀请码：L93EVSO或13989578793均可交稿要求：提供我的用户名中心页面截图 和手机后四位数。审核无误立马通过一个一品账号限参加一次，重复无效,任务编号：712803,"工作室 |            
            luo0710","个人 |            
            denglong","个人 |            
            一颗冰心","个人 |            
            denglong","个人 |            
            slosao",四川曾先生,"个人 |            
            一颗冰心",乔伊伊,四川曾先生,亲亲宝贝儿
【产品推广】没注册过快手的看过来，每稿3元,https://task.epwk.com/713488/,1788人,30人,¥501,o5c5d47b481949,￥ 501,￥48,2019.02.22,【任务超级简单】没注册过快手，没下载过快手的来扫描下方二维码，注册并下载登陆快手APP随意看几个视频即可，提交你注册的手机号后四位即可。注意一定是要没注册过快手，没下载过快手的手机！每个一品ID仅限参与一次，多次提交视为无效。需提交注册昵称！不然无法查询！无法给大家结算！记住一定要登陆！设置—实验室—邀请新用户—直接提十元,任务编号：713488,o5c7170cba0950,倾丶天下,mf150****6446,_火炎焱燚_,o5c7467a3729c7,夏洛洛凡,K3247,o5be266f628762,学外语的陈清泉,"个人 |            
            李白工作坊"
,,,,,,,,,,,,,,,,,,,,
【微信推广】朋友圈手机自拍，简单3元一稿,https://task.epwk.com/713467/,1324人,15人,¥500,o5c6613c44f7e6,￥ 500,￥33.3,2019.02.22,"一句话总结此任务就是:手机下载图片设置满屏然后拍个照...简单的一逼,等于送钱...步骤:1.下载任务附件手机图1，手机图22.查看原图，保存到相册3.横屏,满屏4.找另一人帮你拍照,各拍一张 完事儿 3元到手要求:1.不用露脸 （需要露出头部，半身照或全身照都可以）2.场地要干净,光线要足3.要能看清手机里面的内容4.还不知道怎么拍的,看一下第三张图就可以了.可以美颜一个一品账号限参加一次，重复无效。",任务编号：713467,o5c67fdb13808f,苏苏苏的苏,mf189****8909,o5c719cb4655fa,"个人 |            
            那一片云",o5c08acb49efa3,o5c6f4e8492c06,o5c300d7d11d9c,o5c6f8bf546a2a,o5c6f4e8492c06
【产品推广】2019最新任务 每人50元/次 新手必做（加急）,https://task.epwk.com/713455/,4474人,8人,¥500,mf188****3298,￥ 500,￥100,2019.02.22,"本网站是中国第一大试玩平台 聚享游，绝对安全可靠，试玩发放奖金达10亿元。网站试玩可免费赚钱，做的好的每天几十-几百。你只要再网站做到50万U币，我给50。做到100万，我就给100，依次类推，本任务可以重复交稿。任务步骤和要求：                                     1.  注册地址：http://www.juxiangyou.com/floor/recom/7914874 （复制浏览器打开此链接，按照提示完善资料，奖励1元）                                                                           3. 在试玩游戏，理财赚钱，竞猜赚钱，体验广告赚钱。。。。。。等任何方式免费赚钱（注意：手机APP的不算）  ，当您赚够50万U币（网站虚拟币，相当于50RMB），就可以获得50RMB,交稿后我赏金给50，一共100元。交稿：余额显示为50万U币（相当于赚50RMB可提）以上即可，然后交稿我再给50，共100请收藏该网站长期做每天80-300不等",任务编号：713455,弹小力strong,徐博,,,,,,,,
