标题,标题链接,查看数,参与数,需求价格,需求方,交易价格,交易价格备选,发布时间,需求文本,任务编号,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10,设计师,能力标签
【游戏其他】50元一稿 手机电脑都能做,https://task.epwk.com/504577/,1775人,0人,¥500,纳兹的火焰,500.0,,2017-05-24,手机任务苹果手机或iPad选择 Safari浏览器 输入网站地址 www.wzsjapp.com 做苹果用户的任意5个平台都满30元即可交稿额外50元佣金，共赚200元安卓手机就用uc浏览器或其他浏览器 输入网站地址 www.wzsjapp.com 做安卓用户的任意5个平台都满30元即可交稿额外50元佣金，共赚200元 注意所有试玩平台必须首次，交稿提交对应5个平台的ID截图和满30元截图不懂如何操作可直接复制腾讯视频网链接  https://v.qq.com/x/page/r0387ojoql2.html 观看详细的操作教程 电脑任务电脑任务1需首次 注册地址 https://www.juxiangyou.com/floor/recom/7568423   注册好以后，直接进入新手专区，完成 新手任务的三个小步骤，兑换1元可直接提现微信1万U币=1元 任务1账户大于50万u币就算合格，实际到手100元 提交ID截图即可电脑任务2 需首次 注册地址电脑任务http://www.ttz.com/fd/83631111   注册好以后，直接进入新手专区，完成 新手任务的三个小步骤，兑换3元可直接提现微信1万黄钻=1元 任务2账户大于50万黄钻就算合格，实际到手100元 提交ID截图即可,任务编号：504577,,,,,,,,,,,B任务编号：504577,游戏其他
【游戏其他】50元一稿 手机电脑都能做,https://task.epwk.com/501964/,1412人,0人,¥500,纳兹的火焰,500.0,,2017-05-16,手机任务 苹果手机或iPad选择 Safari浏览器 输入网址 www.wzsjapp.com 做苹果用户的任意5个平台都满30元即可交稿额外50元佣金，共赚200元安卓手机就用普通浏览器 输入网址 www.wzsjapp.com 做安卓用户的任意5个平台都满30元即可交稿额外50元佣金，共赚200元 注意所有试玩平台必须首次，交稿提交对应5个平台的ID截图和满30元截图不懂如何操作可直接复制腾讯视频网链接  https://v.qq.com/x/page/r0387ojoql2.html 观看详细的操作教程 电脑任务电脑任务1需首次 注册地址 https://www.juxiangyou.com/floor/recom/7568423   注册好以后，直接进入新手专区，完成 新手任务的三个小步骤，兑换1元可直接提现微信1万U币=1元 任务1账户大于50万u币就算合格，实际到手100元 提交ID截图即可电脑任务2 需首次 注册地址电脑任务http://www.ttz.com/fd/83631111   注册好以后，直接进入新手专区，完成 新手任务的三个小步骤，兑换3元可直接提现微信1万黄钻=1元 任务2账户大于50万黄钻就算合格，实际到手100元 提交ID截图即可,任务编号：501964,,,,,,,,,,,B任务编号：501964,游戏其他
【游戏代练】乐赚简单游戏试玩，50元一稿,https://task.epwk.com/501367/,1912人,0人,¥500,qq168****869,500.0,,2017-05-14,注册地址：http://www.lezhuan.com/ru/3742248一定要通过上面的链接注册账号在游戏赚钱，玩全部游戏里的游戏（其它不算）账户乐币达到50万就算完成，截图交稿。无截图一律不通过。（完成请提供游戏ID和账户乐币截图）赚U币攻略：http://wz.g0k.com/64.html,任务编号：501367,,,,,,,,,,,B任务编号：501367,游戏代练
【游戏代练】24简单游戏试玩，50元一稿,https://task.epwk.com/501237/,1791人,0人,¥500,qq168****869,500.0,,2017-05-13,注册地址：http://www.2478.com/com.asp?u=1515033一定要通过上面的链接注册账号在游戏试玩，玩全部游戏里的游戏（其它不算）账户趣币达到5万就算完成，截图交稿。无截图一律不通过。（完成请提供游戏ID和账户趣币截图）赚趣币攻略：http://wz.g0k.com/42.html,任务编号：501237,,,,,,,,,,,B任务编号：501237,游戏代练
【游戏代练】优易简单游戏试玩，50元一稿,https://task.epwk.com/501229/,1225人,0人,¥500,qq168****869,500.0,,2017-05-13,注册地址：http://www.yuu1.com/invite-159266.html一定要通过上面的链接注册账号在游戏试玩，玩全部游戏里的游戏（其它不算）账户U币达到5万就算完成，截图交稿。无截图一律不通过。（完成请提供游戏ID和U币趣币截图）赚U币攻略：http://wz.g0k.com/38.html,任务编号：501229,,,,,,,,,,,B任务编号：501229,游戏代练
【游戏其他】乐豆简单游戏试玩，50元一稿,https://task.epwk.com/501245/,1242人,1人,¥500,qq168****869,500.0,,2017-05-13,注册地址：http://www.ledouwan.com/u/227645一定要通过上面的链接注册账号在游戏试玩，玩全部游戏里的游戏（其它不算）账户乐豆达到5万就算完成，截图交稿。无截图一律不通过。（完成请提供游戏ID和账户乐豆截图）赚乐豆攻略：http://wz.g0k.com/58.html,任务编号：501245,,,,,,,,,,,B任务编号：501245,游戏其他
【游戏其他】石头村简单游戏试玩，50元一稿,https://task.epwk.com/501222/,1325人,0人,¥500,qq168****869,500.0,,2017-05-13,注册地址：http://www.stcun.com/Register/1104864一定要通过上面的链接注册账号在游戏，玩全部游戏里的游戏（其它不算）账户石币达到50万就算完成，截图交稿。无截图一律不通过。（完成请提供游戏ID和账户石币截图）赚趣币攻略：http://wz.g0k.com/40.html,任务编号：501222,,,,,,,,,,,B任务编号：501222,游戏其他
【游戏其他】金牌任务 免费赚点零花钱50元一稿，新手必做,https://task.epwk.com/499984/,1475人,0人,¥500,三只鹅,500.0,,2017-05-10,"大家注意做任务的网站中： 理财赚钱，试玩平台这两个个项目很赚钱，快的话，几分钟就能完成了（注意手机类的不算），首次赏金50加上网站50，共100元。请收藏该网站长期做每天80-300不等任务步骤和要求：                                     1.  注册地址 https://www.juxiangyou.com/floor/recom/7914874   （复制浏览器打开此链接，按照提示完善资料，奖励1元）                                                                           2. 在试玩游戏，理财赚钱，竞猜赚钱，体验广告赚钱(只需有电脑，能上网即可)。。。。。。等任何方式免费赚钱（注意：手机APP的不算）  ，当您赚够50万U币（网站虚拟币，相当于50RMB），就可以获得50RMB,交稿后我赏金给50，一共100元。本网站可以收藏后长期做，在网站免费赚钱，做的好的每天300元交稿：余额显示为50万U币（相当于赚50RMB可提）以上即可，然后交稿我再给50，共100本平台可长期赚钱，做的好每天在平台免费赚80-500元不等，看个人的熟练程度，本平台完全免费",任务编号：499984,,,,,,,,,,,B任务编号：499984,游戏其他
【游戏其他】20元一稿 手机电脑都行,https://task.epwk.com/499834/,1360人,0人,¥600,纳兹的火焰,600.0,,2017-05-09,手机任务 苹果手机或iPad选择 Safari浏览器 输入网址 www.wzsjapp.com 做苹果用户的任意3个平台都满20元即可交稿额外20元佣金，共赚80元安卓手机就用普通浏览器 输入网址 www.wzsjapp.com 做安卓用户的任意3个平台都满20元即可交稿额外20元佣金，共赚80元 注意所有试玩平台必须首次，交稿提交对应3个平台的ID截图和满20元截图不懂如何操作可直接复制腾讯视频网链接  https://v.qq.com/x/page/r0387ojoql2.html 观看详细的操作教程 电脑任务电脑任务1需首次 注册地址 https://www.juxiangyou.com/floor/recom/7568423   注册好以后，直接进入新手专区，完成 新手任务的三个小步骤，兑换1元可直接提现微信1万U币=1元 任务1账户大于30万u币就算合格，实际到手50元 提交ID截图即可电脑任务2 需首次 注册地址电脑任务http://www.ttz.com/fd/83631111   注册好以后，直接进入新手专区，完成 新手任务的三个小步骤，兑换3元可直接提现微信1万黄钻=1元 任务2账户大于30万黄钻就算合格，实际到手50元 提交ID截图即可,任务编号：499834,,,,,,,,,,,B任务编号：499834,游戏其他
【游戏其他】简单游戏试玩，5元一稿，长期可做,https://task.epwk.com/498099/,5208人,1人,"¥1,000",mf150****8789,1000.0,,2017-05-04,简单游戏试玩、体验应用任务。1、苹果手机用手机扫描下方附件中的试玩平台二维码（试玩平台1、试玩平台2、试玩平台3每个都可以做，完成多个试玩平台可多次交稿）2、按步骤下载平台助手3、在任意一个试玩平台上试玩游戏、体验应用赚到20元以上即可交稿领取额外5元佣金（试玩平台上每个游戏、应用打开体验3-5分钟即可自动完成，很简单）交稿格式：对应平台ID和余额满20元以上截图，领取5元佣金（完成任意一个试玩平台即可交稿，完成多个试玩平台可以多次交稿）本任务无需银行身份认证！,任务编号：498099,,,,,,,,,,,B任务编号：498099,游戏其他
"【游戏其他】登录网站做任,3元一稿,可以交稿十次",https://task.epwk.com/497941/,4793人,1人,¥510,纳兹的火焰,510.0,,2017-05-04,直接用苹果手机或iPad选择 Safari浏览器 输入网址 www.wzsjapp.com 做苹果用户的试玩平台1或试玩平台2或试玩平台3或试玩平台4或试玩平台5试玩平台6或试玩平台7或试玩平台8或试玩平台9或试玩平台10 加入就送1元大于3元合格完成一个3元完成十个30元实际到手60元，可以交稿十次，注意所有试玩平台必须首次交稿提交ID截图参考附件 (安卓可以点击安卓用户直接领取1元微信红包，纯福利，同时支持苹果)不懂如何操作可直接复制腾讯视频网链接  https://v.qq.com/x/page/r0387ojoql2.html 观看详细的操作教程 网站里面还有20多款苹果和安卓平台赚钱平台，日赚50+,任务编号：497941,,,,,,,,,,,B任务编号：497941,游戏其他
【游戏代练】简单游戏试玩，50元一稿,https://task.epwk.com/497702/,2176人,0人,¥500,qq168****869,500.0,,2017-05-03,注册网址：http://www.juxiangyou.com/floor/recom/9775208在游戏试玩，玩网页游戏（其它不算）账户U币达到50万就算完成，截图交稿。无截图一律不通过。（完成请提供游戏ID和账户U币截图）注册账号要再通过我推荐的链接，注册网址注册账号。赚U币攻略：http://wz.g0k.com/72.html,任务编号：497702,,,,,,,,,,,B任务编号：497702,游戏代练
【游戏其他】简单游戏试玩，50元一稿,https://task.epwk.com/496791/,2044人,0人,¥500,qq168****869,500.0,,2017-04-29,注册地址：http://www.juxiangyou.com/floor/recom/9775208在游戏试玩，玩网页游戏（其它不算）账户U币达到50万就算完成，截图交稿。无截图一律不通过。（完成请提供游戏ID和账户U币截图）赚U币攻略：一个游戏赚1万U币，一个游戏几分钟就能赚到，玩50个游戏就够了。,任务编号：496791,,,,,,,,,,,B任务编号：496791,游戏其他
【游戏其他】简单游戏试玩，30元一稿(新手必做),https://task.epwk.com/495705/,1504人,0人,¥600,zzw666,600.0,,2017-04-26,在试玩平台玩游戏/理财/等（打码不算）账户黄钻达到50万就算完成，截图交稿。无截图一律不通过。（完成请提供游戏ID和账户黄钻截图）注册账号之前最好清除下浏览器缓存，再通过我的链接注册账号。注册地址：http://www.ttz.com/fd/31216868赚黄钻攻略：一个游戏赚1万黄钻，一个游戏几分钟就能赚到，玩50个游戏就够了。做的请留言,任务编号：495705,,,,,,,,,,,B任务编号：495705,游戏其他
【游戏其他】简单游戏试玩，30元一稿,https://task.epwk.com/492446/,3001人,0人,¥600,zzw666,600.0,,2017-04-14,"在试玩平台玩游戏/理财/等（打码不算）账户黄钻达到50万就算完成，截图交稿。无截图一律不通过。（完成请提供游戏ID和账户黄钻截图）注册账号之前最好清除下浏览器缓存，再通过我的链接注册账号。注册地址：http://www.ttz.com/fd/31216868赚黄钻攻略：一个游戏赚1万黄钻，一个游戏几分钟就能赚到，玩50个游戏就够了。,在试玩平台玩游戏/理财/等（打码不算）账户黄钻达到50万就算完成，截图交稿。无截图一律不通过。（完成请提供游戏ID和账户黄钻截图）注册账号之前最好清除下浏览器缓存，再通过我的链接注册账号。,注册地址：http://www.ttz.com/fd/31216868赚黄钻攻略：一个游戏赚1万黄钻，一个游戏几分钟就能赚到，玩50个游戏就够了。",任务编号：492446,,,,,,,,,,,B任务编号：492446,游戏其他
【游戏代练】简单游戏试玩，50元一稿,https://task.epwk.com/490686/,3396人,3人,¥500,qq168****869,500.0,,2017-04-09,注册地址：http://www.ttz.com/fd/62933990在试玩平台玩游戏/理财/等（打码不算）账户黄钻达到50万就算完成，截图交稿。无截图一律不通过。（完成请提供游戏ID和账户黄钻截图）注册账号之前最好清除下浏览器缓存，再通过我的链接注册账号。赚黄钻攻略：一个游戏赚1万黄钻，一个游戏几分钟就能赚到，玩50个游戏就够了。,任务编号：490686,,,,,,,,,,,B任务编号：490686,游戏代练
