标题,标题链接,查看数,参与数,需求价���,状态,需求方,需求文本,发布时间,完成时间,任务编号,赏金总额,参与交稿,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,字段11,字段12
【LOGO设计】企业LOGO设计,https://task.epwk.com/1111386/,2665人,55人,,圆满完成,汉悦净化,公司名称：山东汉悦净化科技有限公司设计关键词：“汉悦”公司简介：山东汉悦净化科技有限公司拥有专业的净化版块生产设备，集研发、技术、生产、销售于一体的综合性洁净室围护系统的制造厂家。致力于净化版块产品、技术的品牌影响力与进步，注重产品的研发。具有完善的产品体系和丰富的产品种类，包括手工净化板、机制净化板、配套铝材销售及安装:净化钢质门、洁净视窗等。产品广泛应用在医院药厂、电子厂、新能源、食品、实验室、化妆品航天航空等净化领域。,2025.02.28,2025.03.21,任务编号：1111386,￥ 1000,79,隐士设计,https://shop.epwk.com/v0n1xpjqx57y/,隐士设计,出售服务,https://shop.epwk.com/v0n1xpjqx57y/chushou/,工作室,一品,55分,,,隐士设计,,海报设计,"￥3000
            /套",企业宣传册设计,"￥5000
            /套",包装设计,"￥5000
            /套",VIS设计（企业形象识别系统）,"￥5000
            /套",,,,,,,,,,
【LOGO设计】包装辅助图案，也能用于商标注册,https://task.epwk.com/1111379/,5511人,37人,,圆满完成,o5a33062beba74,类似于这款包装的农夫图案，衬托产品包装形象，构思仅限关于四川的事物，有历史，人文，农商业底蕴。,2025.02.28,2025.03.28,任务编号：1111379,￥ 1000,31,乔木个人工作室,https://shop.epwk.com/p05qj34krdev/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】设计一款寺院logo,https://task.epwk.com/1111183/,2487人,39人,,圆满完成,优品汇BLoUD,"莫干山上有座新建设的寺院，要求为此寺院做一个logo
设计对象：莫干山天池禅寺
简介：有相关附件
设计风格：本寺院属性的logo、有禅意、有内涵
设计要求：结合给出的介绍和相关背景故事，通过给出效果图提炼元素设计一款符合莫干山天池禅寺特质的专属logo，写明设计构思。
设计元素：莫干山、佛寺、银杏古树等
设计参考资料如下",2025.02.27,2025.03.30,任务编号：1111183,￥ 600,50,谨明设计,https://shop.epwk.com/v0n1x4kqx57y/,谨明设计,出售服务,https://shop.epwk.com/v0n1x4kqx57y/chushou/,企业,五品,62分,总 26 次中标，交易总金额,￥5431.06,谨明设计,,LOGO设计 商标设计,"￥1000
            /起",VI设计　VI视觉识别系统,"￥2000
            /起",品牌全案设计,"￥18800
            /起",包装设计 商品外包装设计,"￥500
            /起",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】医疗药物研发公司Logo设计,https://task.epwk.com/1111097/,1385人,30人,,圆满完成,Lareinaz,普林迈德Logo设计 （北京普林迈德医工交叉实验室有限公司）(英文名Precision Medicine)介绍：普林迈德是一家专注于CNS（中枢神经系统）领域的联合医疗药物研发公司。我们致力于构建一体化的精神疾病药物研发平台，涵盖从药物研发到临床研究的全链条服务，提供精准医疗解决方案。结合强大的研发能力与医院专家团队的顾问，我们推动药物研发、数字医疗技术和临床研究的创新与突破。我们的愿景是通过智能化、精准医疗的理念，持续推动精神类疾病治疗的创新，提升患者的生活质量。我们期待通过科技化和智能化的创新研发，打破传统医疗局限，引领该领域的未来。  Logo设计要求：·      象征性与创新性：Logo需要能够代表普林迈德在精神疾病药物研发领域的科研实力和创新精神，同时突出数字医疗，智能化和医学研发的融合。·      符合品牌定位且创新·      简洁且现代，易于识别和记忆，符合科技与医学行业的专业性。·      Logo应适用于多种应用场景，包括公司官网，包装，宣传材料等。·      附上创意说明希望该Logo能够传递出公司在CNS精准医疗领域的深厚积淀和未来发展潜力。  知识产权说明：·      所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，有设计者承担所有法律责任。中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权，使用权和发布权等，有权对设计作品进行修改，组合和应用；设计者不得再向其他任何地方使用该设计作品。如有任何疑问，请及时联系与沟通。,2025.02.27,2025.03.22,任务编号：1111097,￥ 750,48,隐形人设计工作室,https://shop.epwk.com/omdwkv97mdrp/,隐形人设计工作室,出售服务,https://shop.epwk.com/omdwkv97mdrp/chushou/,工作室,一品,53分,,,隐形人设计工作室,,企业电商详情页设计,"￥1000
            /起",产品字体设计,"￥500
            /起",产品海报设计,"￥1000
            /起",企业产品画册设计,"￥300
            /页",,,,,,,,,,
【产品外观设计】DayaMax发电机组涂装设计,https://task.epwk.com/1110844/,1616人,13人,,圆满完成,shanyi,DayaMax发电机组涂装设计悬赏公告设计要求：整体风格：以灰白色调为主，营造简约大方、富有国际感的视觉效果，符合现代工业设计美学。品牌融合：在明显的地方突出功率、品牌及LOGO（DayaMax），设计需能与LOGO充分融合，提升品牌辨识度。创新突破：在传统发电机组涂装的基础上创新设计，打造独特的视觉风格，避免千篇一律的传统样式。信息呈现：需展示厂家名称——      “日本勅奈電気株式会社製造”，确保信息融入整体设计风格。设计范围：涂装仅需覆盖发电机组的前、后、左、右四个方向，无需涉及顶部或底部。多尺寸适配：设计需适用于四种不同尺寸规格的发电机组的外壳涂装（外壳尺寸及示意图见附件），并能保持一致的品牌视觉形象。其他说明：作品需具备实用性与美观性，适用于实际生产及市场推广。设计稿需提供多角度渲染图，如有设计理念说明将优先考虑。评选标准：美观度、品牌契合度、创新性、可落地性。我们提供反面案例参考，设计时拒绝类似涂装，详见附件。提供正面参考案例，可以借鉴，详见附件。期待您的创意作品！,2025.02.26,2025.04.18,任务编号：1110844,￥ 2000,17,风驰广告影视,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【包装设计】包装设计  升级,https://task.epwk.com/1110490/,2219人,18人,,圆满完成,o59b2b40b24004,尺寸130*50*85，根据图片内容做设计,2025.02.24,2025.03.28,任务编号：1110490,￥ 800,22,W-Ge,https://shop.epwk.com/rp5z4p2xwdx3/,W-Ge,出售服务,https://shop.epwk.com/rp5z4p2xwdx3/chushou/,工作室,七品,35分,,,W-Ge,,,,,,,,,,,,,,,,,,,
【LOGO设计】服装定制logo设计,https://task.epwk.com/1110264/,1194人,28人,,圆满完成,威品62UlG,公司名称：好时光数码科技，经营范围：主要是做服装定制，如团服，T恤衫，冲锋衣，劳保服，厨师服，等等，印制类服装logo要求：图形+好时光融合一体化，图形主体轮廓为猫咪，招财猫，这些，没有具体形态要求,2025.02.23,2025.03.05,任务编号：1110264,￥ 500,34,速 豹 品 牌 设 计,https://shop.epwk.com/0jnekk24xnv3/,速 豹 品 牌 设 计,出售服务,https://shop.epwk.com/0jnekk24xnv3/chushou/,工作室,一品,58分,,,速 豹 品 牌 设 计,,十年老品牌 品质有保障 客户的需求 就是我们的要求！,￥500,,,,,,,,,,,,,,,,
【LOGO设计】品牌LOGO设计,https://task.epwk.com/1109491/,1660人,31人,,圆满完成,生活的理想,1、品牌名为“亘晓”，主要应用于食品、卫浴等行业。2、作品可以是中文的创意，也可以是图形+中文组合整体端庄、简洁、大气，3、字体图形线条流畅，形状规整，字体一目了然；4、作品必须原创，要能够成功注册商标，以及成功申请著作权；5、一旦中标，著作权及宣告转移，原创作者不再拥有中标作品的著作权，不得将该作品运用于任何第三方；,2025.02.19,2025.03.16,任务编号：1109491,￥ 500,42,东方创意,https://shop.epwk.com/89dvggpe4dl2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【海报设计】骑手友好商家广告牌设计,https://task.epwk.com/1109465/,1594人,9人,,圆满完成,bbdbbdb,“骑手友好商家”指为骑手提供饮水、充电、休息以及用餐优惠等暖心服务的商户。广告牌名称：骑手友好商家色调：橙色（美团）、蓝色（饿了么）、黄色为主色调尺寸：60cmX80cm（横竖都可以）画面要求：1.需要有巴巴虎形象（最好是3D不是平面的）                 2.符合年轻人的审美，整体要有质感，色调搭配合理。                 3.商户（如餐饮店、理发店、药店、学校等）可提供的服务内容板块设计为可活动的（方便后期添加或撤换），画面下方有二维码板块（如查询更多的友好商家、新就业群体报道等，需要开发小程序），                 4.画面要有全社会关心关爱新就业群体的引导性话语。,2025.02.19,2025.03.12,任务编号：1109465,￥ 300,9,佳动设计工作室,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】食品行业LOGO设计,https://task.epwk.com/1109442/,1181人,29人,,圆满完成,生活的理想,任务要求：1.商标内容：“潮汕兄弟 CHAOSHANXIONGDI“ ，应用于食品行业2.作品可以是中英文创意，也可以是图形+中英文组合，创意尽可能提现食品行业特点，能够提现“传承匠心，兄弟协作，文化融合，品质保障，创新发展“等潮汕历史文化内涵，第一眼就能让人产生亲切感，同时方便记忆。3、字体图形线条流畅，形状规整，能够展现国际风，因为产品兼具国内外市场；4、作品必须原创，要能够成功注册商标，以及成功申请著作权；5、一旦中标，著作权即宣告转移，原创作者不再拥有中标作品的著作权，不得将中标作品运用于任何第三方；,2025.02.19,2025.03.16,任务编号：1109442,￥ 500,39,墨思设计Moth,https://shop.epwk.com/7g5ykw3o6n0q/,墨思设计Moth,出售服务,https://shop.epwk.com/7g5ykw3o6n0q/chushou/,企业,七品,39分,,,墨思设计Moth,,APP界面设计,"￥300
            /页",品牌全案设计,"￥2000
            /起",LOGO设计,"￥1200
            /起",,,,,,,,,,,,
【LOGO设计】公司logo设计,https://task.epwk.com/1109201/,4947人,60人,,圆满完成,mf139****9416,为拓宇未来（惠州）电器有限公司设计一个logo时，我们可以结合公司的行业属性、产品特点以及未来感、科技感的品牌形象。以下是一些设计思路和建议：### 1. 核心元素   - 电吹风造型：可以抽象化电吹风的轮廓，融入logo设计中，突出公司的主营产品。   - 速度感：通过线条、箭头或流线型的设计，传达“高速”的概念。   - 未来科技感：使用简洁、现代的设计风格，结合几何图形或光效，体现“未来”和“创新”。### 2. 颜色选择   - 科技蓝：蓝色是科技、创新的代表色，适合电器行业。   - 银色/灰色：代表金属质感，体现产品的高端和现代感。   - 亮橙色/红色：作为点缀色，增加活力和速度感。### 3. 字体设计   - 简洁现代的无衬线字体：字体可以选择简洁、现代的无衬线字体，体现科技感和专业性。   - 定制字体：可以在字母“T”或“Y”上做特殊设计，融入电吹风或速度感的元素。### 4. Logo设计构思   - 抽象电吹风造型：将电吹风的轮廓抽象化，形成一个简洁的图形，结合流线型设计，象征风速和效率。   - 字母组合：可以用公司名称的首字母“T”和“Y”进行组合设计，形成一个独特的图形标志。   - 光效元素：在logo中加入光效或渐变效果，增强未来感和科技感。### 5. 示例设计   - 图形部分：一个抽象的流线型电吹风轮廓，结合箭头或光效，象征高速和未来科技。   - 文字部分：公司名称“拓宇未来”使用简洁的无衬线字体，字母“T”和“Y”可以设计成流线型，与图形部分呼应。   - 颜色搭配：主色调为科技蓝，辅以银色和亮橙色点缀。### 6. 应用场景   - 产品包装：logo可以简洁地印在产品包装上，突出品牌形象。   - 公司网站和宣传材料：logo可以用于网站、名片、宣传册，公司背景墙，纸箱等，保持品牌一致性。   - 社交媒体：logo可以设计成适合社交媒体头像的简化版本，便于传播。### 7. 设计风格参考   - 极简风格：类似戴森（Dyson）的logo设计，简洁现代，突出科技感。   - 未来感设计：可以参考一些科技公司的logo设计，使用几何图形和光效。希望这些建议能帮助您设计出一个符合拓宇未来（惠州）电器有限公司品牌形象的logo。,2025.02.18,2025.03.20,任务编号：1109201,￥ 1800,82,牧行者工作室,https://shop.epwk.com/7g5ykxxmkn0q/,牧行者工作室,出售服务,https://shop.epwk.com/7g5ykxxmkn0q/chushou/,工作室,二品,52分,,,牧行者工作室,,,,,,,,,,,,,,,,,,,
【LOGO设计】阿七牛杂连锁店 logo设计,https://task.epwk.com/1108622/,1615人,30人,,圆满完成,威品金创liChn,设计一个阿七牛杂连锁店的 logo，图案里有剪刀和“七”的元素。取阿七这个名字是为了致敬动漫«刺客伍六七»，在各地的牛腩粉中，广东化州的牛腩是在现场用剪刀剪的，而在«刺客伍六七»中，伍六七也是在现场剪牛腩来卖的。  我初步的想法是：在旋转的剪刀圆影中，有一把剪刀显现出来，两半剪刀交叉处有个七字。,2025.02.15,2025.03.10,任务编号：1108622,￥ 500,33,金生设计室,https://shop.epwk.com/4rn8qvk03ngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】纹身器材领域品牌LOGO设计,https://task.epwk.com/1108561/,1915人,44人,,圆满完成,JX先生,需要用“MAST”设计图形LOGO“MAST”是已经在国际上应用了十几年的纹身器材品牌，现在需要设计一款图形LOGO，自由发挥INS·MAST：www.instagram.com/masttattoo.official/（网址是现有的器材资料，可以了解一下）,2025.02.15,2025.03.01,任务编号：1108561,￥ 1100,55,o5d0363f701c78,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
