标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【剪辑服务】工程进度汇报视频剪辑,https://task.epwk.com/1067236/,207人,1人,1000元以内,圆满完成,V领地tYQWL,工程进度汇报视频剪辑称呼：姜先生地区: 不详，服务商地域不限需求: 加一些AE特效，时长一两分钟，类似附件的效果，剩下的就是纯剪辑。我自己也是干这行的，年底太忙，所以外包，要求专业 。服务商提供案例、报价预算: 500元以内时间：越快越好备注：微信是手机号,2023.12.18,2024.01.01,任务编号：1067236,￥500,1天,辽宁省-铁岭市,拾光工作室,https://shop.epwk.com/omdwkl24rdrp/,拾光工作室,出售服务,https://shop.epwk.com/omdwkl24rdrp/chushou/,个人,七品,40分,,,拾光工作室,,3D效果图设计,价格面议,各类视频剪辑,价格面议,,,,,,,,,,,,,,
【产品视频】防脱育发产品宣传视频制作,https://task.epwk.com/1063736/,391人,2人,1000-3000元,圆满完成,威旺R7g6N,主要内容包含品牌介绍、产品介绍、企业介绍等。,2023.11.12,2023.11.17,任务编号：1063736,￥1000,5天,云南省-昆明市,云南富冠传媒,https://shop.epwk.com/81n41greonp6/,云南富冠传媒,出售服务,https://shop.epwk.com/81n41greonp6/chushou/,企业,六品,41分,,,云南富冠传媒,,品牌营销活动策划,价格面议,软件定制开发,价格面议,影视微电影o r 记录片,价格面议,企业产品T V C广告品宣,价格面议,各类企业影视宣传片,价格面议,原创视频制作,价格面议,,,,,,
【MV/混剪】62个视频，需要把水印去掉,https://task.epwk.com/1062603/,6766人,2人,1000元以内,圆满完成,千禾魔术牌具店,62个视频需要把视频水印去掉，或者照着重新做都可以一个视频大概2分钟,2023.11.02,2023.11.20,任务编号：1062603,"￥400,￥900","3天,3天","山东省-临沂市,北京市-北京市-东城区",晓影影视,https://shop.epwk.com/p05qj86ewdev/,晓影影视,出售服务,https://shop.epwk.com/p05qj86ewdev/chushou/,个人,九品,39分,,,晓影影视,,,,,,,,,,,,,,,,,,,
【创意短视频】卤味品牌宣传视频制作,https://task.epwk.com/1060762/,4975人,1人,1000-3000元,圆满完成,k9303****99,项目:卤味品牌宣传视频制作称呼:陈先生所在行业:餐饮行业组织性质:公司地区:上海（上海的）需求:卤味品牌宣传视频制作  雇主是做卤味的，是加盟店，现在想要自创品牌，商标已经做好了，视频可在门店内播放，完成时间:未明确时间预算:联系报价,2023.10.16,2023.10.27,任务编号：1060762,￥1200,3天,上海市-市辖区-松江区,唯秀辉视影视传媒,https://shop.epwk.com/89dvgvj6kdl2/,唯秀辉视影视传媒,出售服务,https://shop.epwk.com/89dvgvj6kdl2/chushou/,企业,六品,36分,,,唯秀辉视影视传媒,,,,,,,,,,,,,,,,,,,
【剧本创作】撰写大学打印店理发店竞标方案,https://task.epwk.com/1057224/,188人,1人,1000元以内,圆满完成,k3106****28,项目:撰写大学打印店理发店竞标方案称呼:杨女士地区:不限需求:撰写大学打印店理发店竞标方案，本周五就要。具体详聊完成时间:9月15号前预算:具体技术报价备注：手机微信同号验收的标准：修改到满意为止工期：9月15日,2023.09.12,2023.09.18,任务编号：1057224,￥650,3天,黑龙江省-大庆市,庆迪剪辑,https://shop.epwk.com/89dvg1p1kdl2/,庆迪剪辑,出售服务,https://shop.epwk.com/89dvg1p1kdl2/chushou/,工作室,七品,39分,,,庆迪剪辑,,高端定制logo创意设计商标建筑教育logo图标设计注册制作,"￥500
            /件",文案创意/剧本创作/广告文案/产品文案/品牌故事,"￥1000
            /件",各类视频剪辑/后期制作,"￥500
            /件",,,,,,,,,,,,
【影视拍摄】知识类的视频拍摄，微信沟通,https://task.epwk.com/1056560/,332人,1人,1000-3000元,圆满完成,k1470****02,项目：知识类的视频拍摄，微信沟通称呼：田先生地区: 不详，服务商地域不限需求: 我是银行销售员，想制作一些介绍信用卡知识的短信视频，或者文案之类，不用上门拍摄，制作好发给我就行  。服务商提供案例、报价预算: 1000以内时间：未定备注：微信是手机号,2023.09.06,2023.09.12,任务编号：1056560,￥1500,4天,云南省-昆明市-五华区,云南富冠传媒,https://shop.epwk.com/81n41greonp6/,云南富冠传媒,出售服务,https://shop.epwk.com/81n41greonp6/chushou/,企业,六品,41分,,,云南富冠传媒,,品牌营销活动策划,价格面议,软件定制开发,价格面议,影视微电影o r 记录片,价格面议,企业产品T V C广告品宣,价格面议,各类企业影视宣传片,价格面议,原创视频制作,价格面议,,,,,,
【剧本创作】演讲稿,https://task.epwk.com/1056014/,252人,1人,1000元以内,圆满完成,k2658****52,"项目:演讲稿称呼:徐先生地区:江苏省,南京市需求:需要一份演讲稿去参加主题演讲，用Word文档制作一份，不要写太多，自我介绍，部分省略；主讲在8分钟左右，相关内容见附件完成时间:明天上午9点前预算:报价联系备注“手机微信同号",2023.09.01,2023.09.01,任务编号：1056014,￥200,1天,黑龙江省-大庆市,庆迪剪辑,https://shop.epwk.com/89dvg1p1kdl2/,庆迪剪辑,出售服务,https://shop.epwk.com/89dvg1p1kdl2/chushou/,工作室,七品,39分,,,庆迪剪辑,,高端定制logo创意设计商标建筑教育logo图标设计注册制作,"￥500
            /件",文案创意/剧本创作/广告文案/产品文案/品牌故事,"￥1000
            /件",各类视频剪辑/后期制作,"￥500
            /件",,,,,,,,,,,,
【其他短视频】3分钟微课制作,https://task.epwk.com/1055156/,1080人,1人,1000-3000元,圆满完成,CCCCLAUDIA,1个3分钟左右的微课制作,2023.08.25,2023.08.26,任务编号：1055156,￥1200,3天,湖南省-长沙市,三只火烈鸟传媒,https://shop.epwk.com/89dvg1pqgdl2/,三只火烈鸟传媒,出售服务,https://shop.epwk.com/89dvg1pqgdl2/chushou/,工作室,七品,37分,,,三只火烈鸟传媒,,,,,,,,,,,,,,,,,,,
【动画设计】原创手绘动画视频制作,https://task.epwk.com/1055101/,296人,1人,1万-2万元,圆满完成,作佳文化,3分钟左右，动画场景有手绘风格3天内能完成能提供现成案例风格的https://mp.weixin.qq.com/s/TErBd9End_9RWYOyszEldw,2023.08.25,2023.08.28,任务编号：1055101,￥12000,3天,河南省-开封市,河南玄灵文化传播有限公司,https://shop.epwk.com/omdwk9lrwdrp/,河南玄灵文化传播有限公司,出售服务,https://shop.epwk.com/omdwk9lrwdrp/chushou/,企业,四品,56分,总 7 次中标，交易总金额,￥3.21万,河南玄灵文化传播有限公司,,3D角色建模,价格面议,二维动画制作,"￥1000
            /起",三维动画制作,"￥1000
            /起",,,,,,,,,,,,
【其他短视频】微课制作,https://task.epwk.com/1054934/,328人,1人,1000元以内,圆满完成,CCCCLAUDIA,制作一个3,2023.08.24,2023.08.24,任务编号：1054934,￥600,2天,湖南省-长沙市,三只火烈鸟传媒,https://shop.epwk.com/89dvg1pqgdl2/,三只火烈鸟传媒,出售服务,https://shop.epwk.com/89dvg1pqgdl2/chushou/,工作室,七品,37分,,,三只火烈鸟传媒,,,,,,,,,,,,,,,,,,,
【其他短视频】制度宣贯类微课制作,https://task.epwk.com/1054544/,273人,1人,1000元以内,圆满完成,CCCCLAUDIA,根据脚本制作制度宣贯类微课一共两个场景提供脚本、配音及相关制度图片需制作成两个3分钟左右的微课,2023.08.21,2023.08.24,任务编号：1054544,￥600,3天,湖南省-长沙市,三只火烈鸟传媒,https://shop.epwk.com/89dvg1pqgdl2/,三只火烈鸟传媒,出售服务,https://shop.epwk.com/89dvg1pqgdl2/chushou/,工作室,七品,37分,,,三只火烈鸟传媒,,,,,,,,,,,,,,,,,,,
【影视拍摄】（北京地区）下周四，8月17号，需要摄像拍摄,https://task.epwk.com/1053316/,762人,1人,3000-5000元,圆满完成,顶服4gkeI,一个专家讲课件，需要全程录制，大约两个小时，再结合其他视频素材后期剪辑50分钟,2023.08.11,2023.08.24,任务编号：1053316,￥3000,1天,北京市-北京市-朝阳区,北京嘉宇天成文化传播有限公司,https://shop.epwk.com/78n96w42onkv/,北京嘉宇天成文化传播有限公司,出售服务,https://shop.epwk.com/78n96w42onkv/chushou/,企业,七品,41分,,,北京嘉宇天成文化传播有限公司,,,,,,,,,,,,,,,,,,,
【剪辑服务】剪辑制作,https://task.epwk.com/1052213/,654人,1人,1000元以内,圆满完成,极品堂Z8K6d,项目:剪辑制作称呼:庞女士需求:3.38 ebn:/ 复制打开短视频渠道代运营，看看【北京浪食记的作品】北京的Mini Mars 23年1月1日就要开业了... https://v.douyin.com/iJRQmA87/ 剪辑类似这样的视频，素材可以提供已经谈好合作，勿扰,2023.08.03,2023.08.09,任务编号：1052213,￥200,1天,黑龙江省-哈尔滨市,哈尔滨巨狮文化传媒有限公司,https://shop.epwk.com/81n41g2xvnp6/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【影视拍摄】视频剪辑,https://task.epwk.com/1050103/,1012人,1人,1000元以内,圆满完成,k8324****99,项目：视频剪辑称呼：罗女士地区: 福建龙岩，周边服务商需求: 3分钟的企业宣传。我们提供素材，服务商剪辑预算: 看服务商报价时间：未定备注：微信是手机号,2023.07.19,2023.07.25,任务编号：1050103,￥300,3天,天津市-市辖区-武清区,博辉传媒,https://shop.epwk.com/09drjy0oq53w/,博辉传媒,出售服务,https://shop.epwk.com/09drjy0oq53w/chushou/,工作室,七品,38分,,,博辉传媒,,三维动画制作,"￥300
            /件",图片制作处理,"￥50
            /件",PS图片处理,"￥50
            /件",专题片设计制作,"￥120
            /件",影视特效制作,"￥130
            /件",影视后期制作,"￥100
            /件",影视字幕处理服务,"￥80
            /件",影视配音配乐服务,"￥80
            /件",影视制作服务,"￥100
            /件"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【抖音视频】短视频剪辑，预算500元,https://task.epwk.com/1050080/,6740人,1人,1000元以内,圆满完成,威品堂kfEXz,任务：一共14条。一周7条视频产出，一天一条视频。需要输出成各大自媒体平台对应格式。要求：1.有网感，对互联网短视频热点敏感，构图色彩有比较好的审美2.要求擅长剪辑氛围类感情片，口播类综艺类视频3.有短视频剪辑相关工作经验，产出过爆款视频优先4.熟练使用pr ae 剪印等相关剪辑软件麻烦添加微信沟通！,2023.07.19,2023.08.14,任务编号：1050080,￥500,14天,山东省-威海市-乳山市,博辉传媒,https://shop.epwk.com/09drjy0oq53w/,博辉传媒,出售服务,https://shop.epwk.com/09drjy0oq53w/chushou/,工作室,七品,38分,,,博辉传媒,,三维动画制作,"￥300
            /件",图片制作处理,"￥50
            /件",PS图片处理,"￥50
            /件",专题片设计制作,"￥120
            /件",影视特效制作,"￥130
            /件",影视后期制作,"￥100
            /件",影视字幕处理服务,"￥80
            /件",影视配音配乐服务,"￥80
            /件",影视制作服务,"￥100
            /件"
【剪辑服务】寻短视频长期接单,https://task.epwk.com/1049476/,16251人,3人,1000-3000元,圆满完成,际尊服RnPJe,根据我方需求完成对应短视频剪辑及后期处理，每月26条。每条视频60-75秒左右 ，话术脚本需提前报我方审核，每月2000元/月 次月5号审核 付款，我方拥有视频的完成知识产权，本项外包寻求可以长期合作的固定众包人员。,2023.07.15,2023.12.18,任务编号：1049476,"￥2000,￥2000,￥2000","30天,3天,1天","安徽省-宣城市-宣州区,河南省-郑州市-新郑市,北京市-北京市-东城区",剪创空间,https://shop.epwk.com/zqdpl2p3gn1v/,剪创空间,出售服务,https://shop.epwk.com/zqdpl2p3gn1v/chushou/,个人,七品,38分,,,剪创空间,,,,,,,,,,,,,,,,,,,
【剪辑服务】舞蹈mv混剪剪辑,https://task.epwk.com/1049316/,4262人,8人,3000-5000元,圆满完成,聚品创客hnTOK,mv混剪剪辑 内容是一个女孩跳了三段舞蹈，一段是古典舞，一段是爵士，一段小型手游开发舞,2023.07.14,2023.07.27,任务编号：1049316,"￥3000,￥5000,￥3500,￥3000,￥4000","3天,3天,2天,2天,3天","上海市-市辖区-松江区,北京市-北京市-东城区,陕西省-西安市-未央区,河北省-石家庄市-桥西区,河南省-郑州市",唯秀辉视影视传媒,https://shop.epwk.com/89dvgvj6kdl2/,唯秀辉视影视传媒,出售服务,https://shop.epwk.com/89dvgvj6kdl2/chushou/,企业,六品,36分,,,唯秀辉视影视传媒,,,,,,,,,,,,,,,,,,,
【动画制作】医学动画视频制作,https://task.epwk.com/1049272/,552人,1人,3000-5000元,圆满完成,创时空WcxbZ,制作约4分钟左右医学动画视频我们提供文案需要制作相应动画需要看过往作品,2023.07.13,2023.07.28,任务编号：1049272,￥3000,7天,江苏省-南京市,摩威文化传媒,https://shop.epwk.com/m7d7w7y7w5q8/,摩威文化传媒,出售服务,https://shop.epwk.com/m7d7w7y7w5q8/chushou/,企业,七品,44分,,,摩威文化传媒,,三维演示,"￥800
            /起",mg动画定制,"￥500
            /件",短视频制作,"￥300
            /起",企业宣传片制作,"￥500
            /起",后期制作，特效处理,"￥100
            /件",产品拍摄/信息流短视频,"￥500
            /起",摄影摄像,"￥500
            /次",,,,
【影视拍摄】洗脸吧的拍摄,https://task.epwk.com/1044987/,254人,1人,1000元以内,圆满完成,k5425****35,"项目:洗脸吧的拍摄称呼:张女士（决策人）地区:重庆,重庆市需求:洗脸吧商铺拍摄，大概需要2分左右，可以发布在短视频平台认证和美团上，主要还是需要发布美团，       合作价格：700   工期：拍摄半天  3-4天出品   验收标注：满意就验收 完成时间:店铺快试营业了，希望尽快预算:具体技术团队报价备注：微信是手机号",2023.06.12,2023.06.15,任务编号：1044987,￥700,4天,重庆市-市辖区-渝北区,花成蜜就,https://shop.epwk.com/p05qj8881dev/,花成蜜就,出售服务,https://shop.epwk.com/p05qj8881dev/chushou/,工作室,六品,49分,,,花成蜜就,,网络推广策划,"￥99
            /起",商业融资/招商/招标/PPT策划,"￥99
            /起",活动营销策划,"￥99
            /起",项目/品牌/营销策划,"￥99
            /起",电商营销/环境视觉传达设计,"￥99
            /起",LOGO视觉设计,"￥99
            /起",宣传设计 海报/画册/插画设计,"￥99
            /起",单品/礼品/系列/体系化包装设计,"￥99
            /起",新媒体营销推广软文/文案,"￥99
            /起"
【剧本创作】媒体类的脚本和方案,https://task.epwk.com/1044385/,624人,3人,1000-3000元,圆满完成,骄世客39PMz,"项目:媒体类的脚本和方案称呼:尹先生地区:重庆市,重庆市需求:报纸，杂志媒体类的宣传片的脚本和方案，后期有打算采取动画的拍摄手法（微信联系）完成时间:不着急预算:具体技术团队报价备注：微信是手机号   推广任务引进小李",2023.06.07,2023.07.05,任务编号：1044385,"￥2000,￥3000","7天,3天","陕西省-西安市-市辖区,广东省-广州市-市辖区",噔噔工作室,https://shop.epwk.com/mod04ewyx5yv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【剧本创作】保护环境剧本创作,https://task.epwk.com/1050361/,303人,1人,5000-10000元,圆满完成,k1711****0,剧本可以以现实生活或虚构故事的方式来呈现，但主题必须是保护环境。约30分钟至1小时，剧本应包含引人入胜的情节发展，让观众产生紧张、悬疑或感动等情感体验。,2023.05.30,2023.06.25,任务编号：1050361,￥10000,10天,江苏-南京市-市辖区,南京星逸文化传媒有限公司,https://shop.epwk.com/p05qj3rwrdev/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
