标题,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,参与交稿,设计师,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签
【品牌起名】滨海商业街起名,2902人,103人,¥250,圆满完成,创意就是生产力,给 “宸寓” 公寓配套的商业街起名 商业街地点：上海滴水湖临港片区 目标人群：科学家，高端青年人才，特殊人才，打造国际化人才社区 要求：有趣，新潮，有内涵，好记 创意点提示：1、 古代科学家，文化人常去的场所（东林书院，广乐茶社等）；2、 与大海相关；3、 古代科学著作（《梦溪笔谈》，《山海经》，《水经注》等）；4、 巷，坊，弄堂；5、 BLOCK（街区），X（未知）， Zone（地带），Harbor（港）；Future（未来）；6、 创新，智慧， 量子，纳米，元素,2024-05-23,2024.07.05,任务编号：1081146,250.0,188.0,拉风的泡面,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【公司起名】公司起名,830人,43人,¥100,圆满完成,o5f7836c7b0e24,公司起名。上海 XXX网络科技有限公司。 主要是直播电商。 要求三个字。好记简单。类似 小米 三只羊 拼多多 无忧等。,2024-05-22,2024.06.04,任务编号：1081099,100.0,59.0,川耑文化,个人,八品,36分,,,,,,,,,,,,,,,,,,,,,公司起名
【公司起名】位于武汉科技公司起名,1287人,58人,¥200,圆满完成,shangjinglong,"科技公司名称征集，本公司位于武汉。经营介绍：主营软件开发，网站建设，SAAS平台搭建，客户端及小程序开发，数据采集分析，RPA 办公自动化等等。要求：1、名称响亮，易记，文雅，有创意但不失稳重;(必需可以注册公司的)2、最好有中、英文两种名称，并可注册商标3、附上创意说明4、自行查重5、名称可最好包含""商""字知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2024-05-21,2024.09.19,任务编号：1081004,200.0,82.0,爱威VWsfz,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【品牌起名】品牌起名,1719人,74人,¥100,圆满完成,o5f7836c7b0e24,品牌取名，火锅店连锁品牌，装修简练接地气的那种，3个字，名字不要太长，好记响亮接地气，要能注册商标，43   35   29   30，,2024-05-21,2024.06.11,任务编号：1080935,100.0,111.0,艺心,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】品牌取名,827人,48人,¥100,圆满完成,o5f7836c7b0e24,一个配电室无人值守智能运维平台软件，功能和物联网平台类似。功能主要包括设备管理、数据可视化、监控告警、大屏、监控摄像头、巡检、工单等。行业主要是软件和电力。起名字主要体现物联网、数字化、电力运维、智慧运维、智慧巡检、安全、降本增效等同类产品名字参考：易电务、安易云、安科瑞、固德力安。注册商标42类。,2024-05-20,2024.06.04,任务编号：1080871,100.0,60.0,凌云文案,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【公司起名】公司起名,1563人,62人,¥100,圆满完成,o5f7836c7b0e24,KTV起名，云南保山注册，只是这个是派对包房，想要好记，顺口，要好设计Logo，独一无二，要有新意，要让人提到就知道是我们家ktv，而且别的地方也没有这个ktv名字，附件是我们这里还有这个白天鹅party k，它的Logo就是这个白天鹅，我们也是附件这种派对，,2024-05-17,2024.06.11,任务编号：1080655,100.0,93.0,晓云文匠,工作室,六品,37分,,,品牌起名原创商标取名注册代理公司字号店铺小程序网站中英文命名,￥100,企业文化设计品牌故事宣传文案公司简介撰写产品介绍商业策划写作,￥180,品牌广告语创作策划原创意设计 公司宣传口号企业产品标语定制,￥180,,,,,,,,,,,,,公司起名
【品牌起名】公司品牌起名,927人,45人,¥100,圆满完成,o5f7836c7b0e24,起2个公司名 一个品牌名，1.起公司名，房地产经纪有限公司，上海地区，简单点的，笔画不要那么多，好听就行  2.起公司名，还得在取一个名字，做二房东，公司抬头名字，3，起品牌名，.商业地产二房东(写字楼为主)，品牌注册商标36类。简单好听，笔画少，能注册成功.3个字的,2024-05-17,2024.06.18,任务编号：1080654,100.0,72.0,威威起家s9uKH,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】取名征集,2170人,66人,¥299,圆满完成,o5b8e4a5d05b05,"我公司产品为五恒系统（恒温、恒湿、恒氧、恒静、恒洁），该系统是集制冷、采暖、通风、除湿为一体的一个系统组合，现需要一个名词的统称，主要用于推广，材料品牌使用，产品宣传册使用，具体要求如下：取名：1、中英文名称，既有中文含义，也有英文含义，代表健康、舒适、温馨的家（暖通届的天花板）2、可以注册商标提示：我公司使用的设备有：特灵、麦克维尔、约克、欧特斯，也可以到某书、某抖上搜索五恒相关产品做参考知识产权说明：1、中文和英文要能注册成商标；2、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;3、中标的设计作品，我方支付设计制作费，即拥有该作品的全部知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品，否则构成侵权，本公司保留依法追究设计方法律责任的权利。4、参加此设计任务者被视为同意以上所有声明，感谢感谢。",2024-05-16,2024.06.17,任务编号：1080506,299.0,89.0,川耑文化,个人,八品,36分,,,,,,,,,,,,,,,,,,,,,品牌起名
【公司起名】公司起名取名,1825人,59人,¥100,圆满完成,o5f7836c7b0e24,起公司名字和商标名字，新能源公司，主营便携储能产品，可以都按新能源来起，公司名字上海注册，商标名字注册9   35  45，公司名字  品牌名字分开给一些  ，好记,2024-05-15,2024.06.08,任务编号：1080333,100.0,92.0,尘宇文化,个人,九品,38分,,,公司行业产品品牌营销软文策划撰写发布新闻帖子微博博客推广,"￥500
            /起",编辑校对核对修改,"￥100
            /起",文学创作写作美文创作,"￥100
            /起",项目策划项目计划书,"￥299
            /起",广告策划广告文案,"￥100
            /起",商标取名公司命名品牌产品类目取名食品化妆品旅游教育服装,"￥100
            /起",商业创意文案,"￥199
            /起",,,,,公司起名
【公司起名】公司起名取名,1657人,90人,¥100,圆满完成,o5f7836c7b0e24,"酒店的装修风格是现代轻奢
取名 要求简单 大气 好记 ，3-4个字，位于重庆，酒店定位是4星级酒店，偏国际化一点点",2024-05-10,2024.05.26,任务编号：1079728,100.0,110.0,龙飞翔Cxah7,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【公司起名】公司起名取名,1304人,88人,¥100,圆满完成,o5f7836c7b0e24,重庆注册，公司主营业务是：环保：环保工程、环境治理、污废水处理，污水消毒，污水处理设备等等，要求名字简洁易懂（简单，清晰、易读易记）不用生僻字或者笔画太多复杂的，积极内涵，也可尝试一些小动物什么的，名字可以取小点，（小一点，举个例子，比较喜欢像那种听起来很小，比如像小米呀，什么蚂蚁金服这种，嗯。什么快狗打狗啊，这种有点小动物，或者怎么看听起来好像不是很很高深那种，就是有点，就是那种小。也就说是乖巧啊，或者怎么样，这种小嘛。）,2024-04-24,2024.05.13,任务编号：1078264,100.0,115.0,米米文案,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【公司起名】我要取一个公司名字,3177人,120人,¥500,圆满完成,o59b2b40b24004,取一个公司名，要求没有在湖南注册同名的（通过企查查或查询公司平台查询）湖南XX生物科技有限公司或者 湖南XX佳康生物科技有限公司公司主营食品销售，保健食品销售，进口特殊膳食，进口保健品销售。,2024-04-23,2024.05.17,任务编号：1078153,500.0,151.0,秒回客NjXdO,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【宝宝起名】男宝宝起名,1955人,88人,¥100,圆满完成,mf158****6529,农历3月12日，阳历4月20日，早上9点43分出生，男宝宝，爸爸姓毛，起3个字的，排过八字，五行缺水，最好名字里蕴含水，取个有寓意有内涵的名字,2024-04-22,2024.04.29,任务编号：1077972,100.0,102.0,墨亦清歌,,,,,,,,,,,,,,,,,,,,,,,,宝宝起名
【品牌起名】国学产品取名,1492人,76人,¥100,圆满完成,摩诃无量,我们公司为北京赋能时代国学院和陆合汇文化公司，主要从事易学培训，儒释道文化的教育培训。我们希望在这个主题下面设立一些培训产品，现需要对产品名称进行征集。1、针对妇女培训的产品，如国学妈妈；2、针对家庭培训的产品，如百年旺族   这个产品的特性是让大众一目了然明白我们所传播的文化，如“百年旺族”。,2024-04-18,2024.08.29,任务编号：1077641,100.0,94.0,璟滔文化,企业,四品,108分,总 8 次中标，交易总金额,￥4.31万,VI/品牌策划/文创产品 IP吉祥物/产品包装设计,"￥1000
            /起",小红书/短视频点赞/私域/B站 SEO优化/知乎/视频号推广,"￥5000
            /起",VR全景视频 后期特效 广告宣传视频 AR视频,"￥5000
            /起",企业管理软件数字化系统ERP/OMS/WMS/PLM/MES,"￥20000
            /起",婚恋交友/多商户商城 教育培训/上门预约等,"￥5000
            /起",模板小程序/SaaS系统 定制开发/多商户商城,"￥500
            /起",,,,,,,品牌起名
【宝宝起名】新生宝宝起名,1754人,104人,¥100,圆满完成,潮威7s9cH,宝宝今年4月7号下午一点出生，本人姓张，老婆姓凡，希望起一个不烂大街的名字，最好在唐诗宋词楚辞里面起，希望有寓意,2024-04-11,2024.04.26,任务编号：1076890,100.0,130.0,鲤杳设计,,,,,,,,,,,,,,,,,,,,,,,,宝宝起名
【宝宝起名】宝宝起名,2929人,150人,¥100,圆满完成,o5f7836c7b0e24,"姓氏：程
性别：女
出生时间：2024.3.30日，11点20分。
出生地点：浙江省义乌市",2024-03-30,2024.04.17,任务编号：1075735,100.0,186.0,梦溪506,,,,,,,,,,,,,,,,,,,,,,,,宝宝起名
【店铺/网店起名】商行名字征集,1793人,123人,¥100,圆满完成,威勒尼VhVbK,女生开的茶店 还卖一些特产和滋补品 要求名字取的像女生开的并且男人也喜欢的,2024-03-27,2024.09.22,任务编号：1075375,100.0,154.0,维联创8kic1,,,,,,,,,,,,,,,,,,,,,,,,店铺/网店起名
【公司起名】实业公司取名,2048人,97人,¥350,圆满完成,Mr159****7155,拟设立  上海xx实业有限公司公司经营范围有“旅行社服务网点旅游招徕、咨询服务；停车场服务;小游戏开发室服务;食品销售;酒店管理;物业管理;集中式快速充电站;信息咨询服务(不含许可类信息咨询服务);办公用品销售;广告设计、代理;广告发布:计算机软硬件及辅助设备批发;电子产品销售;信息技术咨询服务;信息系统集成服务;技术服务技术开发、技术咨询、技术交流、技术转让、技术推广;”希望能帮忙取个名字，两个字最好，带个“高”最好，要的比较急，谢谢各位！,2024-03-26,2024.09.21,任务编号：1075352,350.0,132.0,那一家店,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【公司起名】游戏公司取名,1680人,103人,¥200,圆满完成,迅捷网络,公司主要是做游戏的（主营游戏盒子）目前中意的但是已经被人用了的参考名：贵州掌趣网络科技有限公司贵州优米网络科技有限公司贵州星汇网络科技有限公司贵州利云网络科技有限公司也可以是三个字 四个字的产品名：比较喜欢的同行产品参考名：壹趣玩九四玩风林手游奇趣手游咪咕游戏名字需要念起来顺口、高端 好听，最好是跟游戏 娱乐性质关联的；可以是两个字 也可以是三个字的产品名 例如上面的优米 掌趣。然后需要能注册公司的 网络上无重复的 注册地址是贵州黔西南州兴义市。,2024-03-25,2024.04.09,任务编号：1075161,200.0,142.0,文案服务,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【店铺/网店起名】粉面店取名,2349人,128人,¥200,圆满完成,爵内特pfLPe,要求：名字两到三字都可，名字醒目年轻化，有底蕴内涵，有做大的潜质。最好以顾客至上的背景去取名字。,2024-03-22,2024.04.03,任务编号：1074938,200.0,162.0,千秋万名,,,,,,,,,,,,,,,,,,,,,,,,店铺/网店起名
【品牌起名】沙发软床品牌取名,2250人,132人,¥200,圆满完成,威品Ld1G0,合财 时尚，简洁，易记！字数，2-4字都可以，家具类能注册商标！,2024-03-16,2024.03.27,任务编号：1074247,200.0,178.0,一品字蕴,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】床上用品，枕头取名,1426人,78人,¥300,圆满完成,o5cd0ef5ab0890,公司主要经营，颈椎修复枕头，和乳胶床垫，床上等用品起一个 听起来 高端点的的名字  中英文都要,2024-03-14,2024.03.28,任务编号：1074100,300.0,103.0,品味空间,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
