标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14,任务类型
【产品卖点】公众号的文案策划 确定合作者,https://task.epwk.com/1023422/,468人,1人,¥800,圆满完成,k4650****31,"项目:公众号的文案策划 确定合作者称呼:乔女士地区:山东省,青岛市（限青岛）需求:公众号的文案策划，各类活动，促销时事热点预算:需要报价备注：微信是手机号【推广员任务许玲】",2022-11-29,2022.12.17,任务编号：1023422,800.0,7天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",会议展览策划周年庆典年会开业产品推介会发布会促销活动物料设计,"￥1200
            /起",产品卖点
【商业提案】商业计划书,https://task.epwk.com/1020523/,969人,2人,¥2500,圆满完成,o5c3f12b170585,商业计划书，具体有经验的加微信详谈，只加微信,2022-11-04,2022.12.15,任务编号：1020523,2500.0,"5天,8天","广东省-深圳市-南山区,山东省-青岛市",本能咨询工作室,https://shop.epwk.com/09drj16zq53w/,本能咨询工作室,出售服务,https://shop.epwk.com/09drj16zq53w/chushou/,个人,六品,37分,,,本能咨询工作室,,,,,,,,,,,,,,,,,,,,,,商业提案
【营销推广软文】写一篇瓷砖品牌推广软文,https://task.epwk.com/1019602/,556人,2人,¥150,圆满完成,FUMA,写一篇瓷砖品牌推广软文，瓷砖品牌：狒狒超抗压庭院瓷砖，可以参考佛山陶博会公众号的推文，有相关资料，具体详谈,2022-10-27,2022.11.03,任务编号：1019602,150.0,"3天,2天","山东省-青岛市,山东省-济南市",利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",会议展览策划周年庆典年会开业产品推介会发布会促销活动物料设计,"￥1200
            /起",营销推广软文
【商业提案】项目商业计划书,https://task.epwk.com/1012175/,960人,1人,¥2000,圆满完成,o5f6d607cb1281,需求:跟预制菜差不多，会更高一个等级，现在想一份项目计划书，具体按照沟通好操作,2022-08-30,2022.08.30,任务编号：1012175,2000.0,5天,四川省-成都市-锦江区,智汇帮企业管理咨询,https://shop.epwk.com/2j5xoyx405xm/,智汇帮企业管理咨询,出售服务,https://shop.epwk.com/2j5xoyx405xm/chushou/,企业,七品,40分,,,智汇帮企业管理咨询,,商业计划书定制,"￥2000
            /起",项目运营管理方案,"￥3000
            /起",项目投资计划书,"￥1000
            /起",节能评估报告编制,"￥3000
            /起",项目建议书编制,"￥1000
            /起",项目合作计划书,"￥1000
            /起",招商加盟方案,"￥2000
            /起",融资项目路演PPT,"￥1000
            /起",可行性研究报告编制,"￥3000
            /起",,,商业提案
【专业代笔】撰写一篇贸易公司发展前景文章,https://task.epwk.com/1010138/,386人,1人,¥300,圆满完成,叭叭叭宝,企业管理管理咨询　　1、提供企业管理管理方面的法律、法规及相关政策的咨询服务，为公司企业管理合法运营提供法律依据;　　2、了解公司企业管理管理制度的建立及其执行情况，对存在的问题提出意见和建议;　　3、了解公司企业管理管理基础工作，包括企业管理管理环境、岗位设置、岗位职责、人员分工、控制程序等，对存在的问题提出意见和建议;　　4、定期对公司企业管理状况进行分析，关注公司在筹资、投资、资金运用等多方面的运作，使公司保持健康成长的态势。工期：7天之内完成,2022-08-15,2022.08.25,任务编号：1010138,300.0,5天,天津市-市辖区,亘鼎文化,https://shop.epwk.com/89dvgv1ozdl2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,专业代笔
【产品卖点】产品文案编写（已谈好合作）,https://task.epwk.com/1010110/,502人,1人,¥600,圆满完成,o5f729dbcb21ac,以ppt方式进行编写文案讲述产品突出产品优势长期合作,2022-08-15,2022.09.05,任务编号：1010110,600.0,5天,江苏省-淮安市,江苏知然广告传媒有限公司,https://shop.epwk.com/z2nkzrzlxnqy/,江苏知然广告传媒有限公司,出售服务,https://shop.epwk.com/z2nkzrzlxnqy/chushou/,企业,七品,41分,,,江苏知然广告传媒有限公司,,LOGO设计 设计总监,"￥5000
            /起",视频剪辑 专业团队,"￥500
            /起",包装设计 资深设计师,"￥2000
            /起",动画视频制作,价格面议,VIS设计 设计总监,"￥5000
            /起",海报设计 资深设计,"￥300
            /起",LOGO设计 资深设计,"￥1000
            /起",画册设计 资深设计,"￥150
            /页",,,,,产品卖点
【产品卖点】信息技术与教学深度融合文章撰写,https://task.epwk.com/1009054/,336人,1人,¥300,圆满完成,o59dddcaad878b,查重率不要太高，可以适当摘抄，质量过得去就行，不一定要得奖，要求3000字,2022-08-08,2022.08.15,任务编号：1009054,300.0,5天,天津市-市辖区,亘鼎文化,https://shop.epwk.com/89dvgv1ozdl2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,产品卖点
【项目策划】露营地合作方案撰写,https://task.epwk.com/1008428/,513人,1人,¥800,圆满完成,ty750****,露营地合作方案撰写 具体需求详谈,2022-08-03,2022.08.18,任务编号：1008428,800.0,2天,重庆市-市辖区,花成蜜就,https://shop.epwk.com/p05qj8881dev/,花成蜜就,出售服务,https://shop.epwk.com/p05qj8881dev/chushou/,工作室,六品,49分,,,花成蜜就,,网络推广策划,"￥99
            /起",商业融资/招商/招标/PPT策划,"￥99
            /起",活动营销策划,"￥99
            /起",项目/品牌/营销策划,"￥99
            /起",电商营销/环境视觉传达设计,"￥99
            /起",LOGO视觉设计,"￥99
            /起",宣传设计 海报/画册/插画设计,"￥99
            /起",单品/礼品/系列/体系化包装设计,"￥99
            /起",新媒体营销推广软文/文案,"￥99
            /起",,,项目策划
【宣传策划】大量文档表格编辑校对处理,https://task.epwk.com/994667/,4745人,1人,¥2000,圆满完成,baidushengzhe,有3000个表格、文档需要统一字体 字号 行距间距2.检查文档内默认的一些甲乙方信息以及页眉页脚3.负责上传到我们平台4.需要尽快完成，请报工期与价格，具体文件数量以及难易程度可以家V了解5.必须接受一品威客交易6.不要电话，文件查看可以直接加V,2022-05-06,2022.06.07,任务编号：994667,2000.0,10天,天津市-市辖区,亘鼎文化,https://shop.epwk.com/89dvgv1ozdl2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
【商业提案】电商互联网的商业计划书代写,https://task.epwk.com/993043/,918人,1人,¥1650,圆满完成,k2015****94,项目:电商互联网的商业计划书代写  尾款1650,2022-04-24,2022.06.27,任务编号：993043,1650.0,7天,吉林省-长春市,96元创商业文案策划,https://shop.epwk.com/omdwkmv2xdrp/,96元创商业文案策划,出售服务,https://shop.epwk.com/omdwkmv2xdrp/chushou/,企业,四品,42分,,,96元创商业文案策划,,品牌战略营销,"￥6000
            /起",商业计划书,"￥1500
            /起",品牌文案策划,"￥500
            /起",,,,,,,,,,,,,,,商业提案
【专业代笔】月刊文案写作，已谈好合作,https://task.epwk.com/992393/,2215人,1人,¥3500,圆满完成,setiana0808,月刊文案写作，已谈好合作,2022-04-19,2022.05.13,任务编号：992393,3500.0,10天,吉林省-长春市-宽城区,96元创商业文案策划,https://shop.epwk.com/omdwkmv2xdrp/,96元创商业文案策划,出售服务,https://shop.epwk.com/omdwkmv2xdrp/chushou/,企业,四品,42分,,,96元创商业文案策划,,品牌战略营销,"￥6000
            /起",商业计划书,"￥1500
            /起",品牌文案策划,"￥500
            /起",,,,,,,,,,,,,,,专业代笔
【营销推广软文】家电类新闻稿撰写,https://task.epwk.com/988498/,468人,1人,¥100,圆满完成,o5d5b602e5d076,新品烟机的产品稿（从行业角度、智能厨房的发展前景，万和在其中的动作和实力展现）新品资料：https://baijiahao.baidu.com/s?id=1727610759794736550&wfr=spider&for=pc 以往发稿风格参考：https://baijiahao.baidu.com/s?id=1722366680919060949&wfr=spider&for=pc https://baijiahao.baidu.com/s?id=1702782473863102345&wfr=spider&for=pc,2022-03-26,2022.03.31,任务编号：988498,100.0,3天,山东省-济南市,阿瑞营销推广工作室,https://shop.epwk.com/4rn8qrw89ngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,营销推广软文
【专业代笔】云计算在疫情中的作用及发展模式文章撰写,https://task.epwk.com/986628/,1130人,1人,¥1500,圆满完成,随风漂流1973,云计算在疫情中的作用及发展模式，具体详谈,2022-03-15,2022.05.04,任务编号：986628,500.0,5天,山东省-济南市,智通策划文案,https://shop.epwk.com/09drjjzkl53w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,专业代笔
【品牌故事】全屋定制品牌故事撰写,https://task.epwk.com/986100/,1391人,1人,¥1250,圆满完成,o5f1fab15b6256,好品牌必须有一个好故事！各位朋友，请帮忙讲述一个品牌背后的故事！品牌名称：唯森蒂克（是香港品牌）；所属行业：全屋定制。我们是一个全屋定制生产型工厂，现在急需一个品牌故事；还需要其他资料的可以联系我，我做补充。品牌故事讲述完毕后，最好有一个总结性的广告语。,2022-03-11,2022.05.17,任务编号：986100,1250.0,3天,吉林省-长春市-宽城区,96元创商业文案策划,https://shop.epwk.com/omdwkmv2xdrp/,96元创商业文案策划,出售服务,https://shop.epwk.com/omdwkmv2xdrp/chushou/,企业,四品,42分,,,96元创商业文案策划,,品牌战略营销,"￥6000
            /起",商业计划书,"￥1500
            /起",品牌文案策划,"￥500
            /起",,,,,,,,,,,,,,,品牌故事
【品牌故事】撰写品牌故事,https://task.epwk.com/984012/,1285人,2人,¥240,圆满完成,领尊loHDA,行业：水产行业  风格：大牌简约风 。  要求：根据slogan内容撰写品牌故事，要求内容一致简单大气，500字以内即可,2022-02-26,2022.09.06,任务编号：984012,240.0,"3天,2天","四川省-绵阳市-涪城区,山东省-济南市",腾际品牌管理,https://shop.epwk.com/3gd2mor7gner/,腾际品牌管理,出售服务,https://shop.epwk.com/3gd2mor7gner/chushou/,企业,四品,54分,,,腾际品牌管理,,百度百科搜狗互动企业品牌人物APP词条创建编辑,"￥100
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划,"￥100
            /起",商务商业计划书**策划书招商路演项目可行性研究报告**作,"￥100
            /起",招商策划商务合作拓展餐饮美容健身教育培训机构营销策略品牌,"￥100
            /起",代做可行性研究报告修改立项审批项目建议书资金申请可研报,"￥100
            /起",创业商业计划书**策划书招商项目路演可行性研究报告,"￥100
            /起",商业计划书招商计划书**路演创业可行性研究报告策划书,"￥100
            /起",企业画册logo标志设计产品册设计菜谱菜单广告封面画册设计,"￥100
            /起",PPT设计定制作演讲工作汇报路演招商课件企业介绍动态美,"￥100
            /起",ppt制作代做修改美化年终总结汇报述职企业宣传演讲竞聘,"￥100
            /起",品牌故事
【专业代笔】关于零售通的分析报告,https://task.epwk.com/980303/,448人,1人,¥200,圆满完成,威旺XAWFF,根据老师提供的教学案例及PPT，结合所学内容，撰写案例分析报告，案例是零售通，字数为2000字左右。,2022-01-22,2022.01.27,任务编号：980303,200.0,4天,江苏省-南京市,南京科研服务社,https://shop.epwk.com/3gd2m8xoyner/,南京科研服务社,出售服务,https://shop.epwk.com/3gd2m8xoyner/chushou/,企业,四品,44分,,,南京科研服务社,,课题申报书项目申报书结项报告中期报告撰写修改润色,50,商业计划书项目计划书融资计划书策划书MBA文章文案PPT代做,50,学术服务：MBA硕本论文写作修改降重期刊发表辅导,"￥20
            /据难度",公众号软文推文宣传文案撰写编辑排版,"￥10
            /据难度",代做调研报告研究报告调查报告可研报告数据分析SPSS分析问卷填写,10,期刊发表服务：职称学位课题文章发表与写作,"￥100
            /据难度",,,,,,,,,专业代笔
