标题,标题链接,查看数,参与数,需求价格,需求者,交易价格,交易价格备选,发布时间,需求文本,任务编号,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10,交易价格统一,任务类型
【其他】征集笑容吸引力段子,https://task.epwk.com/371339/,12852,55,¥500,阿佑999,￥ 500,￥185,2015/8/7,招募100个段子各位可能都在网上看过这个拍照的应用，如附件1 2 3！拍自己的照片，晒颜值，到系统出现答案。每一个都是有独立的段子。我们目前是做【笑容吸引力】，改为拍照后出现上下二个段子。也就是用户拍照片后，上面以笑容句子/段子为主。下半部出现一个梦想。【时间+实物o r 状态】如【三年内买一间大别墅/2个月养一只金毛犬/1年内找到如意配偶结婚/6个月成功减重，成为大美女/帅哥】参考附件4可以先以我列举出来的改编#段子上下半部都要#二个为一组！【附件5】我们内部的梦想，可以先以这个带入创作！也可以自由发挥，建议创作尽量都不要一样审核标准：段子有趣，创意！内容差不多，我们就会通过得标。得标后端我们可能再做修改！,任务编号：371339,孟不离姜,"个人 |            
            土鸭鸭的六一节的店铺",lcy123,lcy123,"个人 |            
            六毫米的猫",暴食狂万蛇K,mf159****7376,zyxia,zyxia,mf159****6995,500,其他
【商业提案】征集任务电梯电子样本，每稿20元,https://task.epwk.com/367694/,7153,13,"¥1,800",wukaidk,￥ 1800,￥740,2015/7/21,奥的斯电梯、迅达电梯、蒂森电梯、西奥电梯、东芝电梯、富士达电梯、西尼电梯巨人通力电梯、康力电梯、永大电梯、东南电梯、江南嘉捷电梯、沈阳博林特电梯、上海现代电梯、三洋电梯的电子样本电子样本的出版时间需要是在2012年12月29以后。请以PDF或者压缩包的形式发到wukaidk@163.com邮箱，并截图作为发件证明。,任务编号：367694,hconfeng,hconfeng,hconfeng,hconfeng,hconfeng,hconfeng,hconfeng,hconfeng,hconfeng,hconfeng,1800,商业提案
【商业提案】【长期】征集电梯行业投标文件,https://task.epwk.com/361835/,5285,6,"¥2,000",wukaidk,￥ 2000,,2015/6/24,大家好，本人正在编辑制作2015至2017年电梯行业的发展研究报告以及市场前景研究报告，需要征集2015年1月1日至今电梯行业设备采购的投标文件，投标文件需含有设备的基本参数，价格，品牌等。征集范围是以品牌为标准。合资品牌，日立、通力、三菱、奥的斯、迅达、蒂森、西奥、东芝、富士达、西尼国产品牌，巨人通力、康力、永大、东南、江南嘉捷以上品牌的投标文件都可以，国内标（不接受国际标），时间是2015年1月至今，我们将以文件来源的创建时间为准！若有修改，视为无效！交稿证明以发件箱截图为准！接收邮箱：wukaidk@163.com,任务编号：361835,,,,,,,,,,,2000,商业提案
【生日祝福】给老婆的生日礼物，带照片的生日祝福,https://task.epwk.com/358499/,11293,26,¥500,热带王企鹅,￥ 500,￥125,2015/6/8,您自己或家人朋友在自己城市的标志性建筑物旁，手持祝福卡片，其上写:美兰（兰儿、兰妮），我在xx给你送上最诚挚的祝福，祝xxxxx、xxxx，时间为六月二十四日，表情要丰富，自然，有创意。截止日期为本月二十日,任务编号：358499,"工作室 |            
            最美的遇见",爱吃蜜桔的小C,lcy123,qinhaihua,sushechihuntun,,,,,,500,生日祝福
【软文发布】欲春楼SEO原创文章征集,https://task.epwk.com/355699/,2955,1,¥500,mf186****7727,￥ 500,￥10,2015/5/26,征集SEO原创文章  要求如下：  1、要求原创作品(80%以上原创)，字数不少于900字(低于900字直接不合格，不包含标点符号)。禁止拷贝、抄袭、伪原创，符合我们要求的，都可以通过。原创文章内容以百度、谷歌搜索为准！2、文章要根据产品的功能 使用人群  行业编写，不是这方面不给通过。关键词在正文中要完整出现至少两次。（男女性产品为主）3、文章内容要有吸引力，具有可读性强、文字通畅、段落清晰、关键词锚文字的嵌入必须要自然。（文章主是给搜索引擎抓取，不主要是给人看）4、中标的作品，我方支付费用完成交易后，即拥有该产品的独立完整知识产权，包括著作权、使用权和发布权等，有权对设计作品进行修改、组合与应用；设计者不得将该作品再发布到其他任何媒体上，或为第三人提供该作品创意方案，否则构成侵权。征集结果公布后，未采用的作品即可自行处理。参与群可参与细节讨论，QQ群118652050公司网址http://test.yuchunlou.com   www.yuchunlou.com,任务编号：355699,"工作室 |            
            助力文案",,,,,,,,,,500,软文发布
【软文发布】软文发布，十元一条,https://task.epwk.com/353587/,5276,2,¥500,wuling521,￥ 500,￥30,2015/5/17,做微营销课程的微信号推广，软文推广的方式发帖在百度帖吧、百度知道、妈妈帮、新浪微博、豆辨、宝宝树、新浪论坛、天涯论坛等网站热门论坛上，必须原创，每篇不少于400字，保证三天不被删除，发帖子的链接给我审核，软文内容需跟我的微营销课程有联系的内容里包含微信号，让人有想要联系微信号的欲望，QQ联系389212599给微信号和相关资料,任务编号：353587,赚德行,赚德行,赚德行,,,,,,,,500,软文发布
【百科/问答撰写】简单评价任务，每稿10元，仅限上海地区。,https://task.epwk.com/348358/,1938,7,¥500,leocraft,￥ 500,￥62.5,2015/4/24,具体看附件仅限上海-大众点评网手机客户端五星好评10元一条,任务编号：348358,mf131****3467,o553f4c895a0fb,"个人 |            
            PS 小店——","个人 |            
            HC懒人工作室","工作室 |            
            隨緣雅名",,,,,,500,百科/问答撰写
【百科/问答撰写】简单评价任务，每稿10元，仅限上海地区。,https://task.epwk.com/345527/,1197,12,¥500,leocraft,￥ 500,￥120,2015/4/12,具体看附件仅限上海-大众点评网手机客户端五星好评10元一条,任务编号：345527,孤舟一笠,非格图记,"个人 |            
            PS 小店——","个人 |            
            哈妮小铺",小奶包Iris,木棉3,"个人 |            
            哈妮小铺",鬼魂飘在光天化日,mf151****6017,tuotuohenaini,500,百科/问答撰写
【生日祝福】给好闺蜜的生日祝福，4元1稿,https://task.epwk.com/342694/,10432,30,¥500,Mr186****8535,￥ 500,￥128,2015/4/2,她的生日是4月3日，希望她能收到来自天涯海角的祝福。短信内容大概是：亲爱的Jessie，我是来自XX省XX市的XX。代表你的最好的闺蜜为你送上生日祝福。在20年友谊即将到来之际，她想告诉你，有你这样的朋友，是她这辈子的荣幸。人生有你的陪伴，一路欢歌笑语，又圆圆满满。（然后加上任意祝福语，最好是温馨有新意的哦）手机号：138163895001、时间：从2015年4月03日 00：00-23：59，最好是00：00准时发哦。2、一个号码只限一次，祝福语可不要一样哦。若她有回复，请不要回复。千万不要提前发，过期了就不要发了。谢谢朋友们了。3、若对方回短信询问时无需回复，请大家保密，不要透漏一品威客发任务的信息，谢谢！4、审核标准：截图为证，带有内容日期时间和一张发送成功（或定时发送成功）且带号码的截图。感谢大家的支持！谢谢大家了！同时也祝为我投稿的人爱情美满，全家幸福！,任务编号：342694,多彩广告,"个人 |            
            艾豆笔尖",belliue,belliue,belliue,a275595005,a275595005,Drug,彭彭温温,Drug,500,生日祝福
【品牌故事】【征稿第一期】提供案例，进行原创创作，简单易过,https://task.epwk.com/339711/,4706,7,¥500,南澳海岸线,￥ 500,￥350,2015/3/22,此任务简单来说，就是深圳南澳某段海岸线赋予它一个你的定位。此海岸线长3公里，你可以设置为地中海风格、现代都市风格，任你想象，都可以。要求：1.附件里有提供案例展示，需按此格式进行再创作，赋予不同风格与功能区，可任意发挥想象。例如，里面是海滨城区风格来写，你可以在此基础上改成地中海风格、现代都市风格；2.创作不能更改主线，需以南澳海岸线为主；3.字数在700字以上，需为原创。背景介绍：南澳水头沙至畲吓段的海岸线全长3公里，整个海岸线位于月亮湾景区内，拥有综合性市民广场-月亮湾广场、停车场、龙舟仓储空间等配套设施，享览一线海景，视野开阔。海上渔船点点，渔家生活氛围浓厚，日落景观更是吸引大批游客驻足流连，同时，此处更是当地享有盛名的龙舟赛举办点，每逢端午前后，游人如织。,任务编号：339711,匠思小筑,艺苑劲松,mf53b******bf23,mf53b******bf23,mf53b******bf23,mf53b******bf23,"公司 |            
            zhihuigu",,,,500,品牌故事
【品牌起名】征集建筑模板商标名字，可用于商标注册,https://task.epwk.com/329838/,7140,10,¥500,88888,￥ 500,,2015/1/25,现征集建筑模板行业10个商标名字。名字要好记响亮。注1：悬赏的商标名要能用于注册商标。可上中国商标网查询（第19类）注2：计件任务请一个名字一条留言，否则多个名字中标也按一个计费哦。,任务编号：329838,,,,,,,,,,,500,品牌起名
【生日祝福】急求告白祝福，一稿25元,https://task.epwk.com/333687/,9094,10,¥500,a2738****10,￥ 500,￥160,2015/2/19,我跟我女朋友已经在一起一段时间了，我这个人相对比较内向， 不擅长表达，今天晚上八点想给她来一个正式的表白，让她圆了美个少女的梦，也希望让她终身难忘。大家可以叫我女朋友青青。以下是任务的大致需求第一：我希望要有质量的爱情告白祝福语。第二：任务可以多人参与老少皆宜，也可以单人参与。第三：祝福语可不要太简单咯，中英文都可以。第四：我要的是图片+人物+标志建筑或者好看的背景+祝福语，不懂得可以看附件来，所有参与投标者均以图片为准，没有图片一律淘汰。审核标准：提交图片，一稿25元  必须有质量注：可以重复交稿，但是图片内容、拍照背景、人物、必须不一样 地区没有限制。祝福内容可以参考（我是来自xxx的xxx，我受你包子的委托给你带来他美好的表白。。。。。。以下内容自己想象，中英文结合都可以。）我会实时在电脑面前等图片我只要20张，时间截止在今晚上12点整过后我就不会再要了。,任务编号：333687,"工作室 |            
            小胡建设计空间","个人 |            
            有约",o54dc532765921,"个人 |            
            有约","工作室 |            
            最美的遇见","个人 |            
            有约","个人 |            
            有约",heqiaolan888,,,500,生日祝福
【爱情表白】春节表白祝福短信，一稿3元,https://task.epwk.com/333565/,11212,39,¥500,Felix125,￥ 500,￥166.65,2015/2/16,"本人只需要前50条，第51条后无效1.短信格式： “你的眼是宁静的湖水 他望了一眼 就陷了进去""。车同学真的喜欢你(表白发挥三十字左右) 。2015陈同学给你们一个机会，相爱吧！2015祝你（发挥，对方女学生）来自（所在市）的祝福！ 新年快乐 2.发送时间：短信2月18-19日，时间早上8点到晚上22点送祝福。一定要在那天啊，不能晚呀哦，谢谢朋友们了，在线选搞。3.若有回复，请不回复短信！4.审核标准：截图为证， 带有内容和一张发送成功（或定时发送成功）且带号码的截图。感谢大家的支持！5.对方手机号：180-0921-5432，一个号码只限发一次哦！一条3元！",任务编号：333565,"工作室 |            
            瀚森创意文字坊",qinhaihua,小御思,懵懂的路,lcy123,懵懂的路,"个人 |            
            index1的店铺","工作室 |            
            瀚森创意文字坊",zzc262603,"工作室 |            
            ——日说——",500,爱情表白
【爱情表白】情人节表白短信，3元两条,https://task.epwk.com/332898/,12490,40,¥501,mf153****4457,￥ 501,￥114,2015/2/10,短信格式为下：晶晶同学，受赵先生所托给您说几句话：（自由发挥，要表白为主，限三十字以上，少字不合格）（楼主与女神的情况是恋爱四年，分手。但楼主想挽回，请大家踊跃发挥。对方手机号：15609963220）                                                                                                  情人节快乐 来自（地区）的祝福 注：每个手机号只限发送一条，多发不计费。发送时间是2015年2月13日晚12过后 截至时间为2015年2月14日中午2点。早发与过期均不合格，任务要截图，截图必须内容和日期清晰，否则算无效。就是3元发一条短信。本人只需要50条短信，第51条起视为无效。,任务编号：332898,belliue,"个人 |            
            index1的店铺",belliue,qinhaihua,刘子书,lj稻草人,小御思,多彩广告,"工作室 |            
            禹●爱工作室","个人 |            
            新视点",501,爱情表白
【文学创作】搞笑视频小故事剧本，以餐厅为背景，在餐厅里发生的故事,https://task.epwk.com/327010/,12135,12,¥500,休闲哥,￥ 500,￥350,2015/1/10,"以餐厅为背景，拍摄搞笑视频，以对白或情节为主，类似于《武林外传》是以同福客栈为背景一样，餐厅为汉朝文化餐厅，演出人员均为餐厅服务人员或厨师，服务人员均穿着汉朝服装，情节可以是员工之间的故事，也可以是服务客人时发生的故事，或者是网上流传的搞笑段子，背景资料和餐厅情况请加餐厅微信公众账号做了解，搜索公众账号：八大菜，或者加微信好友：xinjiangbadacai，详细了解，大家可以和我直接联系，我的QQ是59959918                    剧本要求：                            1、以餐厅为背景，拍摄搞笑视频，以对白或情节为主，类似于《武林外传》是以同福客栈为背景一样。2、餐厅为汉朝文化餐厅，演出人员均为餐厅服务人员或厨师，服务人员均穿着汉朝服装，情节可以是员工之间的故事，也可以是服务客人时发生的故  事，或者是网上流传的搞笑段子，         3、每个视频大概只需要1~2分钟，所以，对白要简洁，搞笑，写明表情和动作，要达到搞笑的效果。4、也可以有长篇的故事，发生在餐厅的故事i就可以，要能吸引看视频的人，每个视频只有2分钟左右，长篇故事需要做每集的划分，并且有包袱。                                       知识产权说明：                                            1、所设计的作品为原创或者网络上自己搜集，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：327010,"工作室 |            
            瀚森创意文字坊","工作室 |            
            瀚森创意文字坊","个人 |            
            贪玩秀秀的商铺","工作室 |            
            瀚森创意文字坊","工作室 |            
            瀚森创意文字坊","工作室 |            
            瀚森创意文字坊","工作室 |            
            瀚森创意文字坊",,,,500,文学创作
【其他】《众包与威客》的问题征集,https://task.epwk.com/326404/,13784,52,"¥3,000",epweike,￥ 3000,￥450,2015/1/7,平台征集，最贴近一线工作的实用案例;　　强强联手，草根力量汇聚尽显专业实力!　　清华大学电机系博士毕业，管理学博士后，副教授王强老师 联袂一品威客网，打造国内第一套《威客与众包》系列丛书(王老师的微信公众号是DrwangqCHO，其新浪微博是“磐石旗厦门”，欢迎大家关注、沟通)。“让赚钱更简单!”是一品威客网推出此书的目的。本书将汇集百篇实用案例，由王强博士执笔进行点评和案例分析。　　我们来出书，给自己一个机会，给读者一个惊喜……　　为了让此书更具有实用性和可读性，我们将面向威客朋友们征集您在威客平台使用中的问题，欢迎大家畅所欲言!　　其中有代表性的问题将入选本书进行详细解答。如果你的问题入选了，一品威客网CEO黄国华将提前给你单独解答。　　提交方式：将你的案例和问题发表在该任务中，并留下联系方式。　　截止时间：2015 年1 月30日　　入选奖励　　* 稿酬：入选1个问题支付稿费30元。　　详情咨询：QQ群：433060717　　王强博士微信：Drwangqxm　　一品小编微信：epweikeqiqi,任务编号：326404,"工作室 |            
            心物同元hjy",任行,"个人 |            
            乔蝎创意经典",lijie28,葡萄正在待命,"个人 |            
            133思维","个人 |            
            艾豆笔尖",yao7079,"工作室 |            
            楚楚文案工作室","工作室 |            
            独家设计",3000,其他
