标题,标题链接,查看数,参与数,需求价格,需求方,交易价格,需求价格备选,发布时间,需求文本,任务编号,设计师1,设计师2
【产品卖点】悬赏一句朋友圈令人心动的文案,https://task.epwk.com/900553/,3465人,62人,¥100,京东惠哥,￥ 100,￥ 100,2020.10.25,这是一个电商优惠券平台，自购可以省钱，分享可以赚钱，京东官方出品的。我现在想在朋友圈发这个，邀请好友加入这个平台，特此悬赏一句朋友圈令人心动的文案项目背景：1、这是京东官方出品，所以是正规的2、有京东平台所有商品的优惠券，自购可以省钱，分享给好友可以赚钱3、分享优惠券给好友后，好友购买商品后我可以赚佣金4、好友再邀请好友购买，我可以额外获得好友佣金的20%，无上限这个就是我邀请好友加入这个平台的理由,任务编号：900553,知知工作室,明俩青年
【品牌起名】品牌取名征集,https://task.epwk.com/898238/,2455人,149人,¥300,o5f85****3bc54,￥ 300,￥ 300,2020.10.13,"【征稿类型】我们是做腰部辅助治疗产品的，想征集品牌名称【征稿要求】1、品牌名字要有联想效应。 比如,农夫山泉,就能想到泉水,是矿泉水。2、能让人眼前一亮，好记，醒目。品牌名字要易于传播",任务编号：898238,xz99,案上之蛙
【品牌起名】中低端女性个护电器品牌名,https://task.epwk.com/897919/,2733人,139人,"¥1,000",ladysayhihi,￥ 1000,￥ 1000,2020.10.12,中低端女性个护电器品牌名品牌调性：潮流时尚、新鲜趣味、女性用户定位：Z世代女性备注：要求提交的品牌名称 在国家商标系统中未注册过，可以用作品牌商标注册的。参加任务悬赏的用户需要在https://tm.aliyun.com/?utm_content=se_1006739496输入品牌名是否被注册。,任务编号：897919,女人撑起半拉天,十月创意工作室
【品牌起名】海鲜海产品海鲜酒楼类的取个品牌商标名字,https://task.epwk.com/896522/,1870人,81人,¥100,百万富翁123,￥ 100,￥ 100,2020.10.06,"本人计划做一个海鲜品牌，现需要取一个品牌商标名，字数在 2~3个字，类目在29/31/35/43，四类奖金设为多人悬赏  会有几个人中标 希望大家积极参与哦。需要高端大气上档次,可发展为品牌的。本人有实力和资源。各位威客朋友可以大胆联想 每个威客朋友最多可以取3个名字，那些一下就交一百几十个的直接淘汰。注：必须是中国商标网，尚未被注册的商标名。若重复，或相近等无法注册的，一律为无效名字，概不采纳。后期，如有附上logo，被我采纳的另有单独重赏。300~500元.",任务编号：896522,千灵 取名+logo设计,茜仟
【品牌起名】大码女装品牌起名,https://task.epwk.com/896491/,1786人,102人,¥100,o5f4762ad71aec,￥ 100,￥ 100,2020.10.06,主营女装，消费人群以18-35岁女性为主， 服装特色：青春，时尚。,任务编号：896491,o5d34069cab7b5,卓越品牌策划工作室
【品牌起名】均码女装品牌起名,https://task.epwk.com/896487/,1285人,74人,¥100,o5f4762ad71aec,￥ 100,￥ 100,2020.10.06,主营均码女装，消费人群以18-35岁女性为主， 服装特色：青春，时尚。,任务编号：896487,十月创意工作室,o5d34069cab7b5
【品牌起名】有机农产品品牌征名,https://task.epwk.com/895696/,1759人,74人,¥188,o5d58007d62268,￥ 188,￥ 188,2020.09.29,"有机农产品品牌征名，本公司主营主要是生产有机农产品，以有机无土栽培生姜为主，未来也会涉及更多有机无土栽培农产品，例如黄瓜，圣女果，南瓜等，目前本公司的生姜主要用于出口，以及国内高端消费人群，本人想征集大家的智慧，为本公司起一个亲民化，国际化，品牌化名字，要求如下
1，要有文字寓意，利于本公司宣传的有机，健康理念
2，要求能购注册国家商标，29，30，35，43类等
3，中文名字加英文名字
4 ，大气，易传播，消费客人要有深刻印象",任务编号：895696,九臣原创设计,壹品伯爵设计工作室
【其他】企业愿景（一句话概况企业愿景）,https://task.epwk.com/895590/,3197人,57人,¥580,汇芯高新,￥ 580,￥ 580,2020.09.28,企业名称：深圳市汇芯线路科技有限公司          深圳市汇芯高新科技有限公司主营产品：印刷线路板（PCB），印刷线路板组装（PCBA），电子产品加工服务（EMS）公司详细介绍：WWW.HX-CIRCUIT.COOM              WWW.HX-TECHNOLOGY.COOM需求：根据以上信息，请用一句话概况你认为可行的“企业愿景”1、符合企业实际情况（详情参阅企业网站);2、愿景能指明企业前行的方向，让人产生共鸣；3、愿景是积极向上的，不狭隘；4、愿景不是只利己的；,任务编号：895590,壹品伯爵设计工作室,欧乐创意文案
【公司起名】互联网科技公司取名,https://task.epwk.com/895150/,2798人,112人,¥600,o5d5c0fe4d647f,￥ 600,￥ 600,2020.09.26,公司业务方向：1、以车主为目标人群的电商平台，主要销售汽车用品、加油电子卡券产品、其他车生活周边产品；2、以全国加油站运营商为目标客户的管理类、销售类、服务类软件；3、基于庞大、精准的车主信息，实现数据链接、精准营销等多元业务开发。命名要求：1、易记、易识别，利于推广传播2、符合 油品+互联网科技 的业务属性3、一定能够注册，不能注册则无效,任务编号：895150,风铃文案/平面设计,九臣原创设计
【品牌起名】连锁便利店取名,https://task.epwk.com/895070/,2629人,133人,¥600,o5d5c0fe4d647f,￥ 600,￥ 600,2020.09.25,经营介绍：加油站内的便利店，类似中石化易捷，顾客主要是私家车主、的士1、易读、易记、识别性强，没有生僻字2、符合连锁便利店业务属性3、名字可以注册,任务编号：895070,寡盐视觉,般若设计
【品牌起名】连锁快餐品牌取名,https://task.epwk.com/895068/,2488人,132人,¥600,o5d5c0fe4d647f,￥ 600,￥ 600,2020.09.25,经营介绍：产品主要是速食便当 、包子、水饺、咖啡、热冷饮，品类比较杂，主要面向开车上班族、的士司机等群体。                取名要求： 1、符合业务属性; 2、易读、易记、易识别; 3、名字必须能注册,任务编号：895068,mf183****7259,月雾
【品牌起名】餐饮项目取名,https://task.epwk.com/893326/,1592人,72人,¥100,o5f6328d89a6c7,￥ 100,￥ 100,2020.09.17,"餐饮项目取名，主要是做泰式奶茶，老挝咖啡类的

1、消费群体面向大众，东南亚口味，食物新鲜

2、单人也适合，家人，朋友小聚也适合 

3,原材料和包装都是产地进口

取名要求1、名称响亮，易记，有创意，有特色(必需可以注册公司的)

2、可注册商标

3、附上创意说明。",任务编号：893326,壹品伯爵设计工作室,鑫晨设计室
【品牌起名】功能性烘焙食品品牌名称取名,https://task.epwk.com/892367/,1619人,69人,¥200,一只快乐的冬瓜,￥ 200,￥ 200,2020.09.14,任务需求：功能性食品品牌商标命名，要求可注册。计划开发一个专注做功能性食品的品牌，做糕点蛋糕、面包等食品。 、起名要求：1、名称要便于记忆品牌名称；2、结合功能性相关的元素；3、可中英文匹配；4、名字字数限于3个字5、可注册商标第30类,任务编号：892367,艺点策划,狐家小爷
【品牌起名】水果品牌起名,https://task.epwk.com/889213/,2407人,133人,¥200,o55e6c9aa6e122,￥ 200,￥ 200,2020.09.02,主要售卖盐水石榴、葡萄等水果农业产品，以这个为基准起个有概括性的名字，释义麻烦附注在下方。起的名字要可以注册LOGO，必须是原创。盐水石榴介绍如下：云南省曲靖市会泽县特产，全国农产品地理标志。盐水石榴主产区属北亚热带气候，光照充足，热量资源丰富，气候炎热，雨热同期，有利于石榴生长，光照条件良好。盐水石榴果个大，平均单果重450克，最大果重1100克；果实近圆球形，纵径6.85厘米，横径7.87厘米，成熟后果皮光洁明亮，果面有片壮红晕，阳面鲜红至浓红，萼筒较短、闭合；籽粒大，百粒重50-56克，汁液多，味纯甜，果实成熟后，籽粒中的簇壮放针明显，核软，耐贮运 自然环境盐水石榴产地自然生态环境地处低纬度高海拔山区，境内山峦起伏，河流纵横，地势北高南低，平均海拔1426米，最高海拔4017.3米，最低海拔695米。土壤主要是为紫色土和棕壤，呈中性到微碱性反应，土层较厚，孔隙度好，水肥气热协调。 [1]  水文情况境内主要河流小江、以礼河，水能资源充沛，石榴种植区年均降水量690毫米，石榴生长期间的降水占全年降水量的80%以上。 [1] 气候情况盐水石榴 石榴主产区属北亚热带气候，光照充足，热量资源丰富，气候炎热，雨热同期，有利于生长，光照条件良好。①光照：石榴种植区年日照时数2193.0小时，日照百分率47%，年光辐射量153千卡/平方厘米，有利于石榴的光合作用。②温度：年平均气温20.8℃，≥10℃积温，5784℃，全年无霜期235天。有利于石榴的生长发育。③降水：石榴种植区年均降水量690毫米，石榴生长期间的降水占全年降水量的80%以上，非常有利于石榴生长发育的需要，为降低生产成本提供了极其便利的自然条件。石榴种植区生产条件优越，农民具有成熟的栽培管理经验。沟、渠、路、水、涵、电、林网配套齐全设施良好，灌溉用水无污染。,任务编号：889213,o590857ad76aa7,vivid悦968
【品牌起名】4字商标名字征集，后面两字为宝盒，用在游戏机,https://task.epwk.com/889064/,2327人,164人,¥250,mf159****1601,￥ 250,￥ 250,2020.08.31,4字商标，后面两个字为宝盒，用在家用游戏机上面。举例：月光宝盒，电竞宝盒,任务编号：889064,一网不捞鱼,o5f4bb7f105bad
【品牌起名】民宿日租公寓起名取名,https://task.epwk.com/887296/,3094人,170人,¥100,o5e88****81636,￥ 100,￥ 100,2020.08.23,4个字以内，不要那种假大空的伪文艺组合，避免除了起名人外，谁也看不懂的名字。,任务编号：887296,九臣原创设计,k2474819985
【店铺/网店起名】电商购物平台取名,https://task.epwk.com/886570/,2396人,118人,¥500,o5f3d9e28e6be8,￥ 500,￥ 500,2020.08.20,"产品： 小家电，家居，健康，礼品等综合购物
定位： 高品质、高性价比，打开美好生活方式。产品精挑细选，层层把关，旨在让消费者放心，省心。
品牌：2-4字，有品位，有创意，符合年轻审美，符合商城定位，可注册9，35，42类。",任务编号：886570,十月创意工作室,见证奇迹
【品牌起名】环保塑料袋公司品牌起名,https://task.epwk.com/885808/,2380人,85人,¥188,o5d58007d62268,￥ 188,￥ 188,2020.08.17,本公司主要做外贸生意，做环保可降解塑料制品生意，包括塑料袋，餐盒，细管，托盘，垃圾袋等业务现在扩大国内业务，需要一个中文品牌名字本公司英文名字：phibah要求第一：根据这个英文名字，起一个中文名字，赋予它一个含义，中文名字可注册第二：有没有想法这个英文名字和鑫字发生联系第三：如果以上都不考虑，可以单独起一个中文+英文名字，此处和鑫发生关联的优先考虑，加分项第四：要求中文名字可在16类办公和20类家具可注册,任务编号：885808,七七驾到,茜仟
