标题,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,参与交稿,设计师,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【公司起名】电器平台名字征集,2869人,63人,¥100,圆满完成,o5a3869fee96df,"请帮我们的电器平台取一个名字 谢谢1、名称响亮，易记，文雅，有创意但不失稳重;(必需可以注册公司的)2、最好有中、英文两种名称，四个字以内，并可注册商标3、附上创意说明。                              知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.12.19,2018.01.07,任务编号：564805,￥ 100,,小陈子兼职,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】母婴洗护用品品牌起名,6699人,132人,¥400,圆满完成,o5a35003f636bc,母婴洗护用品 草本浴，消毒产品、抗抑菌制剂、母婴护理用品、母婴用品,2017.12.18,2018.01.15,任务编号：564613,￥ 400,,指上花开©品牌设计,个人,一品,80分,,,总监logo设计,"￥8000
            /件",【资深设计师】LOGO设计 3套方案 30天内修改满意为止,"￥5000
            /件",专业VI设计-因定制类商品无法完全规定价格！是方便拍的基数价格！具体找客服索取!,"￥1000
            /件",【总监设计师】包装设计 1套方案 30天内修改满意为止,"￥8000
            /件",原创海报设计,"￥1000
            /件",总监包装设计,"￥5000
            /件",【总监设计师】卡通设计 1套方案 30天内修改满意为止,"￥10000
            /件",卡通logo设计|企业卡通形象|企业|商业|零售满意为止,"￥8000
            /件",卡通三视图设计,"￥4000
            /件"
【品牌起名】家装五金品牌起名征集,7531人,132人,¥500,圆满完成,小唐大神,我公司主要生产门合页、抽屉滑轨、柜门铰链、门锁、门吸等家居五金配件，现需要给品牌起名字。1、品牌名字要求亲近公司产品特色、寓意深刻，容易让人一眼就记住，最好能解释其含义，可以参考国内著名五金品牌。2、品牌名中文、英文皆可，2-4个字之间，要求可注册商标，并未注册过第6类，建议先查询商盾网或商标局官网；提交请先提供没被注册截图3、所提交的作品应为原创，未侵犯他人著作权；如有侵权他人著作权，由设计者承担所有法律责任；4、选中的作品，我方付费后，即拥有该作品知识产权，设计者不得再向其他任何地方使用该设计作品。,2017.12.18,2018.01.18,任务编号：564526,￥ 500,,见证奇迹,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】西点工作室起名,5452人,103人,¥100,圆满完成,kkyy1020,主营各类西点 主要面对年轻人及外卖，要求：简约、时尚、优雅、大气 朗朗上口，易于记忆和传播。最好带英文名作品必须要求是原创，为第一次发布 可商标注册,2017.12.18,2018.01.11,任务编号：564449,￥ 100,,茜仟,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】运动健身商标品牌取名起名,4872人,80人,¥200,圆满完成,htkm,中文商标取名要求1、此次品牌取名定位于运动健身俱乐部行业，洋气像国外名称为优，顺口。2、中文取名字数请保持在2—4个字。3、请一定要确保取的名字在商标28、41类下可以注册。4、取名后，要附带背景、故事、内行的创意说明。5、要求必须是原创，不得是电脑取名。6、最好附有英文商标。,2017.12.18,2018.01.29,任务编号：564442,￥ 200,,xdfswyyg,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】征集一个茶叶品牌取名,5676人,91人,¥200,圆满完成,o5a3521e6a4a63,"从事茶叶种植、加工、销售，要征集一个茶叶品牌取名。 福建、建瓯制茶历史悠久，在北宋期间，为宫庭专供茶叶。本人茶园在武夷山脉，所产茶叶系武夷岩茶系列，“三分红、七分绿”乌龙茶特性，主产水仙、肉桂、大红袍等，香高、气远、水厚、岩韵深，具有武夷山茶“岩骨花香”特点，兼有高山茶柔、顺、长、绵。 要求： 1、名称简洁、大气、有内涵、有底蕴，在创意中不失稳重。2、名字不出现茶、茗，带“岩”字或联想“岩韵”为佳，可用别名如：马头岩、牛栏坑等，雅俗共鸣，设计者不拘一格，充分发挥想象。3、名字4个字之内，并可注册商标 4、附上创意说明。 5、中标后，可作深度合作，商标LOGO设计、VI设计、包装设计、广告词等。 知识产权说明： 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任; 2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.12.17,2018.01.29,任务编号：564326,￥ 200,,文案li,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】餐饮店取名,4619人,89人,¥100,圆满完成,o59a099aa554ba,"主要经营老宁波牛肉面，面结面，顺带一些炒饭类。地点：在商业广场。名字要易于传播，必须原创。日后往连锁经营方向发展。


【注意事项】

1、还请大家创意作品后，在中国商标网上，查询未被注册后再发上来吧。好多名字都被注册了。

2、衷心的感谢每一位用心参与的设计师，非常感谢大家。

3、若无法通过注册，中标威客务必配合我公司进行修改 。所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任

【知识产权说明】1、所设计的作品为原创，为第一次发布，未侵犯",2017.12.16,2018.05.12,任务编号：563913,￥ 100,,狼族征服者,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】私立学校名字征集,6517人,125人,¥200,圆满完成,o5a1e6a210b85b,准备开一个私立学校类，针对考研提供大学那样的场地，宿舍，教室，食堂等，请帮忙取一个三四字的名字，要求有出处，好记，提交名字时请附上出处或者释义。备注：必须要能注册才算有效稿件。,2017.12.15,2018.01.22,任务编号：563648,￥ 200,,o59fd3a74ab2dc,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】取购物商城平台名称,5419人,105人,¥100,圆满完成,cfs14752,取电商购物平台名称 要求：3-4个字、名称简洁易写易记、大气、朗朗上口、含义要好。要原创、保证能够注册全品类全品牌的购物商城平台,2017.12.15,2018.01.09,任务编号：563641,￥ 100,,五艺之星,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】餐饮店铺取名,5859人,125人,¥258,圆满完成,资溪炸肉,我们的店铺主营炸鸡，汉堡。奶茶。关东煮。饮料。店铺名不要洋名。不带外来音译名。。最好有点中国传统古文化的韵味。就是不想太通俗的字意。,2017.12.15,2018.01.03,任务编号：563584,￥ 258,,风铃文案/平面设计,个人,九品,45分,,,平面设计服务,价格面议,企业文化  精神 口号,价格面议,作文代写,"￥299
            /篇",宝宝起名,价格面议,创意广告,价格面议,公司 品牌 网站 APP 店铺起名,价格面议,,,,,,
【品牌起名】电子品牌英文名字征集,3072人,48人,¥150,圆满完成,Mr185****1393,起起品牌名字 纯英文 耳机，电子消费品类别英文品牌名字 ，产品类别，耳机，蓝牙音响，WIFI 插座。 要求：1）纯英文  2）目标注册市场：欧洲  3）符合西方语音习惯   4）大气   5)不能和现有西方知名的品牌重合。,2017.12.14,2018.07.28,任务编号：563542,￥ 150,,金名创鑫,工作室,七品,37分,,,,,,,,,,,,,,,,,,,,
【品牌起名】工具类的品牌英文名字征集,3448人,30人,¥150,圆满完成,Mr185****1393,请纯英文的 钻头，工具类的品牌名字请起手动工具类，切削工具类，纯英文的品牌。要求：1）纯英文  2）符合英国美国人的习惯 及发音。3）品牌大气,2017.12.14,2018.07.28,任务编号：563540,￥ 150,,十月创意工作室,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】暖贴暖宝宝贴和足贴商标起名,4696人,87人,¥200,圆满完成,o5a324af348311,"任务需求暖宝宝贴、足贴 名称征集，本公司位于河北石家庄暖贴以年轻女性为主（自发热）足贴适宜大众要求：1、名称响亮，易记，文雅，有创意需和产品功效相关;(必需可以注册商标的)2、以上两款产品起一个商标名称就可以。让客户听到名称就能够联想到做的产品。3、名称具有产品特点4、最好有中、英文两种名称5、附上创意说明6：商标名称要求3-4字知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;注：这两类商标是共用一个商标名称的。所以大家不需要分开起名的。感谢大家的参与，由于产品的特殊性、热*宝 热*贴，冷贴、热贴、暖宝之类的是无法注册成功的。大家也可以起一些具有特殊寓意的名字。比如：大拇指之类的。或者宠物类的。这类的名字也是可以的。但是需要可以注册商标的。具体是11类下面的1111 5类下面的0501 这两类的。提供案例-火火蝉 本公司名称：河北汉华卓成生物科技有限公司 （也可根据公司名称取相关商标名称）    任务需求",2017.12.14,2018.01.31,任务编号：563511,￥ 200,,见证奇迹,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】交通设施公司起名征集,4560人,89人,¥100,圆满完成,o5a28****36146,要求，名字好记，与行业相关性强。要求名字读起来顺，比如，深圳创安顺交通设施有限公司 深圳捷顺交通设施有限公司 深圳通顺交通设施有限公司 东莞乐途交通设施有限公司 注册新公司名字要能注册商标。名字2个字以上，4个字以下,2017.12.07,2018.05.25,任务编号：560819,￥ 100,,蓝精灵创意轩,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】家居用品公司征集广告语,4004人,101人,¥200,圆满完成,o59ffecec70f6c,家居用品公司征集广告语，主要生产无纺布环保袋，高端大气有吸引力的广告语，公司名称：临沂宜丽宝家居用品有限公司,2017.12.13,2018.02.17,任务编号：550989,￥ 200,,啊哦额,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】25类瑜伽服健身跑步服装英文品牌取名,6006人,64人,¥200,圆满完成,o5a2f87b464de7,1，主要产品为瑜伽服以及健身跑步服装，客户主要为欧美年轻客户。2，要求品牌为全英文，时尚便于记忆，有档次，易于书写。3，所设计的作品必须为原创，未在国家商标局注册过（中国商标网查询地址http://sbj.saic.gov.cn/，不侵犯他人著作权，如有侵犯他人著作权的由设计者承担所有法律责任。,2017.12.12,2018.01.30,任务编号：562577,￥ 200,,slgoahead,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】自动化网站起名+宣传语,3866人,49人,¥100,圆满完成,J九三三,网站内容包括：自动化类产品，产品招标，工程师人才共享，自动化资讯。要求起个叫什么自动化，后面带自动化的，再加一句宣传语。主b要宣传：核心：项目需求方案投标,2017.12.12,2018.04.27,任务编号：562516,￥ 100,,雅文创意策划工作室,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】假发公司取名,4331人,145人,¥500,圆满完成,o5a2b6fc176360,公司从事假发生产补发/织发/增发销售订制业务，纯手工一根根头发丝钩织制作，取材为全真人发，受众用户是脱发/白发/化疗后脱发等缺发群体1，中英文名字，中文四字以内，最好2字，英文音译或意译2，好听好记有寓意，通俗词语，有联想空间，最好输入法可直接输出3，不要繁体字，生僻字，不要中英混合，虽客群女性偏多，但名字不要太女性化4，商标/域名可注册5，符合定位，尊重客群6，区别同行，排除 丝/黛/美 三字7，接受现有商标资源转让（26类）,2017.12.11,2018.01.16,任务编号：562190,￥ 500,,远望镜界,个人,七品,36分,,,,,,,,,,,,,,,,,,,,
