标题,标题链接,查看数,参与数,需求价格,需求方,交易价格,交易价格备选,发布时间,需求文本,任务编号,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10
【生日祝福】生日祝福短信，一稿3元,https://task.epwk.com/667275/,4031人,44人,¥500,o58fc8cdd3a441,￥ 500,￥120.4,2018.10.07,1.2018年10月9日是我一个一直爱着的女生生日，我想给她份惊喜与感动，给她一次难忘的生日祝福，希望能够得到全国各地朋友的祝福。2.内容如下：苟雨洁，我来自于某某地方，受一位路人所托我代表某某全市人民祝你生日快乐。（剩下的部分自由发挥吧，大概十几字就足够了，一定要有祝福她的话）一定要写点哦3.保密，如果对方询问   一定不要回复  或做任何回答4.发送时间：短信于10月9日 凌晨00.05-23.50时间段，随意选个时间送祝福。一定要10月9日定时发送，千万不要提前或晚发哦，时间过了就直接不发了，谢谢朋友们了。还有就是阳历（10月9号），记住是阳历 不懂这些的就不用来了。5.祝福语新颖有创意，不落俗套，能表达我对她心意的，若有回复，请务必不要回复短信！6.审核标准：截图为证，带有内容和一张发送成功（或定时发送成功）且带号码的截图。感谢大家的支持！7.她的手机号：13738490805，一个号码只限发一次哦！8.希望她生日那天可以收到各位朋友的祝福，在此先感谢大家的帮忙了！,任务编号：667275,"个人 |            
            denglong",悠然一品,o5bbaf422bf1f7,wei1093539166,非影腾龙123,mf159****8041,躲在树下看蛐蛐,破耳朵,o5ac78ace46165,yuewu
【生日祝福】给未来老公征集全国生日祝福，一稿5元（日期10.3号）,https://task.epwk.com/665469/,3807人,54人,¥500,亲爱的小五,￥ 500,￥275,2018.09.29,首先告诉大家一个好消息：2018.10.7是我和我老公结婚大喜之日，转眼婚期将至10.3号又刚好是他生日，想在结婚前给他一个有意义的生日，希望能得到全国各地朋友们的祝福，最好能征集到34个省份的祝福语，谢谢大家~~1、请帮忙要发祝福的朋友们加上我的微信：qzdhxmz，或者qq：371818267，加的时候说明是哪个省份送祝福的，，通过后我会把他的号码发给你2、发送时间：10.3号00.00-23.59（时间很重要，一定要在那天发，不要提前或延迟哦，我想刚过凌晨12点的时候就让他收到祝福，所以这个时间段我会多选择些祝福语）其他的24小时内任意时间段都可以发送，因为我想让他一整天都被幸福包围着3、对方有回复或者回电，请不要接听或者回复短信4、短信格式：亲爱的辉辉同学，生日快乐。我是来自XX城市的XX，受你家最亲爱的小五之托送上最真挚的祝福，她说：有你在，就会有未来，感谢遇见你+自由发挥，因为我们要结婚了，也可以加点对我们的祝福之类的话语，内容要真诚真挚，一定要自己写的，不能随便在百度上复制抄袭5、一个号码只限一次，同一个威客ID帐号仅限参与一次。祝福语可不要一样哦6、审核标准：请在稿中回复，截图为证， 带有内容日期时间和一张发送成功（或定时发送成功）且带号码的截图。感谢大家的支持！ ！同时也祝为我投稿的人爱情美满，全家幸福,任务编号：665469,"工作室 |            
            力旦工作室",断剑,o5b14a87327b63,o5b14a87327b63,mf159****8041,Pistache,靳老师,"工作室 |            
            绿芽精致工作室",slgoahead,段文博好帅
【生日祝福】生日祝福短信，一稿3元,https://task.epwk.com/664776/,4024人,45人,¥500,o58fc8cdd3a441,￥ 500,￥141.47,2018.09.27,1.2018年10月9日是我一个一直爱着的女生生日，我想给她份惊喜与感动，给她一次难忘的生日祝福，希望能够得到全国各地朋友的祝福。2.内容如下：苟雨洁，我来自于某某地方，受一位路人所托我代表某某全市人民祝你生日快乐。（剩下的部分自由发挥吧，大概十几字就足够了，一定要有祝福她的话）一定要写点哦3.保密，如果对方询问   一定不要回复  或做任何回答4.发送时间：短信于10月9日 凌晨00.05-23.50时间段，随意选个时间送祝福。一定要10月9日定时发送，千万不要提前或晚发哦，时间过了就直接不发了，谢谢朋友们了。还有就是阳历（10月9号），记住是阳历 不懂这些的就不用来了。5.祝福语新颖有创意，不落俗套，能表达我对她心意的，若有回复，请务必不要回复短信！6.审核标准：截图为证，带有内容和一张发送成功（或定时发送成功）且带号码的截图。感谢大家的支持！7.她的手机号：13738490805，一个号码只限发一次哦！8.希望她生日那天可以收到各位朋友的祝福，在此先感谢大家的帮忙了！,任务编号：664776,"个人 |            
            denglong","工作室 |            
            道乐推广旗舰店","个人 |            
            依然选择你",o5ba58c27d7cab,水寿,Pistache,亲亲宝贝儿,"个人 |            
            一颗冰心","个人 |            
            一颗冰心",mf159****8041
【爱情表白】送给女朋友全国各地好朋友的创意视频祝福,https://task.epwk.com/651594/,3701人,7人,¥500,悠幽传奇,￥ 500,￥5,2018.08.21,各位朋友，大家好，在这里寻求你们的帮助。女朋友马上过生日了，平时没能好好照顾她，所以趁此机会收集来自全国各地的朋友们的祝福视频。1、用手机自拍录制几秒钟的小视频，视频内容为：露露你好！我是来自XX省XX市的XX（可不用实名），你的他让我祝福你，祝你生日快乐！天天开心（也可自由发挥）2.要求：（1）吐字清晰有感情（2）视频需要您真人出境，可以有其他拍摄想法，可以加微信沟通18712772191，效果好有额外红包哦另外承诺：您的视频仅限用于好友祝福，绝不公开或者上传至网络平台。交稿要求：拍完视频可发送到邮箱1315416384@qq.com，然后发送记录以及发件邮箱提交到一品威客,任务编号：651594,Regina1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
【爱情表白】七夕短信发送，一稿5元,https://task.epwk.com/649394/,4787人,25人,¥500,serkxiaohao,￥ 500,￥130,2018.08.15,"由于七夕情人节要到，希望朋友们帮助送短信祝福!  任务要求1.表达自己的爱情宣言和对我俩的爱情祝福2.表达我对她深深的爱恋，很珍惜这得之不易的幸福3.文字有创新，不落俗套，不得抄袭,不得重复4.内容举例说明如下:你好，我是来自某地的XX，受你的男朋友钟学亮所托向你送来情人节祝福，他想告诉你：虽然我不懂得什么给惊喜，不懂得浪漫，平时不够细心对待你，但是以后的日子，我会更加用心呵护你，爱你，永远！ （我叫钟学亮，她叫李榆菲）5.发送时间限制：2018年8月17日20.00至22.00，其他时间发送送恕不采纳！发送时间一定核实好，千万不要提前发送,切记6.短信接收人号码看附件.切勿回复或接听电话，请大家保密，不要透漏一品威客网发布的信息，拜谢！7审核标准：截图为证， 一个电话号码只能提交一个稿件，交稿提交截图,截图请带有内容 日期和成功发送页面8.需要自己创作，不可抄袭",任务编号：649394,o59c75e638065d,安安小暑,mf159****8041,o5b263ee971041,o5b263ee971041,cn12345,mf159****8041,爱学习的小吃货,o5b76511bbe7a9,mf138****2603
【爱情表白】录制送给女朋友视频祝福,https://task.epwk.com/637199/,3390人,3人,¥500,seeya11,￥ 500,￥50,2018.07.14,各位朋友，大家好，在这里寻求你们的帮助。和女朋友感情比较稳定了，需要进一步升温。所以想送她来自全国各地的你们的祝福。录制15秒左右的视频。1、手持纸板或卡片，在当地标志性朝阳筑，或能看出来是哪里的建筑物前拍一张照片。纸板或卡片上文字内容的大概意思就是祝福恋人之间的爱情，可自由发挥，言简意赅。同时口述内容为；朝阳，你好！我是来自XX省XX市的XX（可不用实名），你的他让我转告你，他会陪你，爱你，宠你，一直到老 。。。后面可以自由发挥。2.要求：（1）卡片字体可自由设计，内容可以添加自由发挥；（2）照片需要您真人出境，手持卡片或纸板，背景不一定高大尚，但是看起来舒服，惬意。3.大家拍的视频为MP4格式，发到邮箱1083204847@qq.com.并且提供邮箱号到一品威客上交稿。备注：需要在7月20号下午六点之前发送视频到邮箱才算。,任务编号：637199,Tournesol,o5b4db97ab0a49,,,,,,,,
【其他】公司发布会，征集祝福视频，每稿10元,https://task.epwk.com/633166/,3076人,3人,¥500,o5b3c6d1095df0,￥ 500,￥10,2018.07.04,公司新产品发布会，要找一些美女自拍录视频送祝福。自拍要求：女性，年龄不限，妆化需求：要求化妆出镜，不能素颜，拿着手机竖着自拍录一句话（不要横拍）自拍角度：参考附件要录的话：8月2日真库城堡之夜不见不散（是录视频，录视频，录视频，不是自拍照片）视频内容请发送至 qq：82245141@qq.com，另外提交视频截图进行交稿，以便点评。,任务编号：633166,werew,,,,,,,,,
"【软文发布】计件发帖,一稿3元",https://task.epwk.com/624543/,3422人,5人,¥500,bdmingen,￥ 500,￥156.52,2018.06.10,1.发微博，或金融财经类论坛贴。论坛需有一定知名度。站点访问量过低和收录差的站点不予通过。2.所发贴需保证15天不删除。3.本次发帖不需要加上任务联系方式。4.不得出现任何其他的广告，否则不予通过。5.所发文章不得出现侵权。任务详情请看附件。投稿请提交发帖链接。,任务编号：624543,"工作室 |            
            小小龙儿",mf159****8041,rfgddfgd,rfgddfgd,"个人 |            
            论坛发帖推广 分类信息发帖网易博客分类信息推广纯手工发帖",rfgddfgd,rfgddfgd,rfgddfgd,rfgddfgd,rfgddfgd
【爱情表白】送给女朋友各个省份的创意照片祝福,https://task.epwk.com/620010/,3835人,6人,¥500,苏子陌,￥ 500,￥25,2018.05.30,各位朋友，大家好，在这里寻求你们的帮助。和女朋友感情比较稳定了，需要进一步升温。所以想送她来自全国各地的你们的祝福。1、手持纸板或卡片，在当地标志性建筑，或能看出来是哪里的建筑物前拍一张照片。纸板或卡片上文字内容为：朦女神你好！我是来自XX省XX市的XX（可不用实名），你的他让我转告你，他会陪你，爱你，宠你，一直到老 。2.要求：（1）卡片字体可自由设计，内容在以上文字的基础上，可以添加自由发挥；（2）照片需要您真人出境，手持卡片或纸板，背景一定要是能展示您所处省市的标志性建筑物。3.大家把拍好的照片，发到邮箱taichangle@126.com，备注好您的一品威客ID。4.时间紧急，请各位朋友帮忙，谢谢！。,任务编号：620010,o5b0d7f1dba296,,,,,,,,,
【爱情表白】五月二十号祝福短信,https://task.epwk.com/613714/,5166人,111人,¥500,o5af8625b059d9,￥ 500,￥399.96,2018.05.14,五月二十号给女朋友的祝福短信！  和女朋友刚在一起一个月，异地还是大学生活，之前高中同学，但是中途发生了一些事情，大学后才在一起了，因为异地她很缺乏安全感，但是我们对未来有很长远的打算。 短信内容:小番茄你好！我是来自**省**地的**，在此给你和你的豆豆送上节日祝福+（祝福语，内容可以参考第一条的大致说明）要求：1、 发送时间:2018年5月20号17:20，时间不过早或者过迟。2、 若有回复，请不做理会。手机号码188519651213、审核标准:截图为证，带有一张发送成功（或者定时发送成功）且带号码的截图。4、一个手机号只能发送一条，发送多条无效 希望我们可以收到各位的祝福，感谢前来祝福我们的朋友！ 感谢大家的支持！,任务编号：613714,"个人 |            
            denglong",o5af950ed4913b,轻笔点风11,振天羽翼,亲亲宝贝儿,妄念姑娘,o5ab3ddbc8ee56,拼凑不成,mf159****8041,小小CCE
