标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,参与交稿,设计师,字段1_link,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【品牌起名】注册公司、财税代理、社保代理产品名品牌取名,https://task.epwk.com/486783/,3194人,46人,¥100,圆满完成,单人悬赏,o58d733fc6e05b,1、可申请域名（汉字对应中文是两个字母的比如，la、wa、si、ge、he、域名中只能出现一个三个字母的汉字，bei、hei、bai，品牌名对应的汉字不能超过三个英文字母），域名组合只能为两个双字母+加一个三字母或者三个都是双字母，比如：www.bibibei.com  wwwbibibi.com2、可申请商标。http://www.tmkoo.com/在此查询3、取名不要取传统的风格，比如亨、通、源字的那种，需要互联网风格的名称，未来的业务主要在互联网上开展。需要科技感、互联网感觉、年轻化的感觉、友好、时尚、大气（如盛大网络、巨人网络、xxx金服这样的名字大气感，郎朗上口，我们毕竟要做成上海领先的同行业品牌），可爱可亲一点的（财税、社保这些，我们的员工几乎都是女生，而我们的客户大多是男性，需要一点把品牌女性感觉一点）。已经想好的几个名字可参考风格感觉（猫财卫、财卫猫、财猫护卫、美财护卫、巨财护卫，之前还考虑够一个“财衣卫”，谐音锦衣卫，但可能会让人误认为是做衣服的品牌）（最开始我们的品牌名叫西夏贝财服，但是西夏贝不能注册商标，西夏是一个地名，西夏贝财服这个还是很符合我们想要的感觉）4、该品牌主要从事的是帮助创业者注册公司，帮助初创的公司解决财务和税务的问题及社保代缴、商标注册等知识产权方面的问题（第三方财税、财税外包），未来大多是针对年轻的80、90、00后创业者、所以要的感觉是科技感、互联网感觉、他们都比较年轻，比较时髦、新鲜。以上列举的一些名字，为什么有护卫、卫，想表达的意思就是保卫创业企业的财税等各个方面的可靠性，在背后默默的帮助创业公司，就像守卫一样。5、品牌名称中，不要用财税了，最多出现一个财字，一起代表了财税，之前我们取的叫“西夏贝财服”，财服就是希望能涵盖一个大的范围，而且跟“蚂蚁金服”这样的扯上一点关系，听起来高大上了很多。名称要有一定的通用性，有点见名之意的感觉。（另外使用的单个汉字，结构不能复杂，不能难写，不要用一些像貔貅这样的汉字）6、所以汉字组合，要考虑到谐音、同音、相似音的问题，不能谐音一些不好的事物。7、汉字所带的拼音，不要含有需要区分前后鼻音的，比如ying和yin，不要带有lv（绿），输入法输入后很容易出现的，比如xixiabei，xi就是xi，xia就是xia，bei就是bei，不会需要考虑这个拼音是前鼻音还是后鼻音，不要有输入的选择和错误的可能性8、同时考虑一下品牌的英文名，吉祥物、象征物也可以考虑一下，主要是取名9、要求说明每个名称的大概表达的意思，你想表达的意思10、欢迎大家头脑风暴,2017.03.26,2017.05.26,任务编号：486783,￥ 100,64,凯撒文案,https://shop.epwk.com/3gd2m6x7ener/,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】照明公司取名任务,https://task.epwk.com/486702/,9115人,105人,¥1200,圆满完成,单人悬赏,vitorru,征集一个照明公司的名称，要求名称可以注册商标（请到商标网站查询），域名也请一并考虑和查询。优先考虑可注册商标和域名的名称。一、产品涉及范围：商业照明、工业照明、公共照明、酒店外墙照明 、LED智能照明、创意型照明。公司产品销往国内外市场，国外主要是欧美市场。全部公司产品都由自己研发，产风格追求简洁大方有档次。主要优势是利用照明光学，达到非常好的产品照明效果。二、取名要求1、公司名称响亮、简洁、易记，符合照明行业定位；2、公司名称要注册商标和注册网站域名；3、格式：广东XX照明股份有限公司（字数2-4个字为宜，有好创意可放宽）。 4、注：名字要与行业具有关联度的名称，比如光学中的一些名词，或者关联词。让人一看就知道和照明有关。5、请附上名称的创意说明。商标查询链接： http://sbcx.saic.gov.cn:9080/tmois/wsjscx_getJscx.xhtml域名查询链接： https://wanwang.aliyun.com/三、知识产权说明1、所提交的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由提交者承担所有法律责任；2、中标作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权，使用权和发布权等，有权对设计作品进行修改、组合和应用；中标者不得再向其他任何地方使用该作品。联系QQ：3514971812,2017.03.25,2017.05.08,任务编号：486702,￥ 1200,147,鲸点子设计,https://shop.epwk.com/7lngqqjr6dmr/,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】室内设计创意工作室起名征集,https://task.epwk.com/486379/,4972人,202人,¥300,圆满完成,单人悬赏,zhihu,"室内设计创意工作室（非装修公司）的名字，一定不能太俗气，而且要有纯设计公司的味道,不能像装饰公司名字，最好两个字或者四个字，要有台湾或日本名字的感觉，那种英文翻译成中文的就不要了，要有寓意，之前想到一个筑上匠行不能注册，像珥本，大舍，大隐，怀石，类似这种感觉不错，一听就很有意境，但已经有人用了，所以一定不能土，期待高手出现，感谢大家。",2017.03.24,2017.04.13,任务编号：486379,￥ 300,281,一画一世界,https://shop.epwk.com/2j5jj2m2v5pz/,https://shop.epwk.com/2j5jj2m2v5pz/chushou/,个人,九品,37分,,,,,,,,,,,,,,,,,,,,
【品牌起名】福州市大运城运动用品有限公司旗下品牌起名,https://task.epwk.com/485390/,1934人,69人,¥100,圆满完成,单人悬赏,mf158****3598,"品牌起名，能代表三大球的运动形象，三大球指篮球、足球、排球，欧式风格，简约不简单。希望所取名字都能注册运动用品行业既第28类商标、以35类市场销售、服装25类；知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.03.21,2017.04.10,任务编号：485390,￥ 100,80,o5642f349e0722,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】团膳公司起名征集,https://task.epwk.com/486295/,3280人,100人,¥200,圆满完成,单人悬赏,影子1103,"团膳公司名称征集，本公司位于长沙。经营介绍： 打破食堂单调的套餐传统，不仅引进南北特色风味小吃，还推出浏阳蒸菜，现场制作美食以及高品质自主餐，冷餐会，茶歇会，满足团膳食客不同需求要求：1、名称中国文化，易记，文雅，有创意但不失稳重;(必需可以注册公司的)2、最好有中、英文两种名称，并可注册商标3、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.03.24,2017.08.25,任务编号：486295,￥ 200,130,影动视效,https://shop.epwk.com/9w56ee02wdv1/,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】种植合作社起名,https://task.epwk.com/486293/,3110人,128人,¥200,圆满完成,单人悬赏,风雨中的我,"种植合作社名字征集。 经营介绍： 主营包装瓜子、小米、绿豆等杂粮。 要求： 1、字数限制在2-3字。2、可注册商标的。3、附上创意说明。 知识产权说明： 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任; 2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.03.24,2018.02.22,任务编号：486293,￥ 200,161,xdfswyyg,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】铝合金门店取名征集,https://task.epwk.com/486286/,3406人,96人,¥200,圆满完成,单人悬赏,昵宝贝儿,"铝合金门店名称征集，经营介绍：主营高端门窗、别墅阳光房，铝合金制作.要求 ：1、字数限制在2-4字2、要凸显做高端门窗的。3、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.03.24,2018.02.22,任务编号：486286,￥ 200,117,疯狂的小象.起名+logo+商标注册,https://shop.epwk.com/7lngq0zzrdmr/,https://shop.epwk.com/7lngq0zzrdmr/chushou/,个人,九品,37分,,,,,,,,,,,,,,,,,,,,
【宝宝起名】女宝宝取名征集,https://task.epwk.com/486112/,8516人,161人,¥150,圆满完成,单人悬赏,mf139****4207,宝宝姓施预产期： 2017年4月19属鸡起名要求：1、想给宝宝起一个大名再起一个小名，大名要三个字或者有更好的两个字的也可以，每个字最好都要有寓意，并附上解释。2、宝宝属鸡，最好名字里带水或者禾字旁 草字头，有更好的寓意不带以上字也可以，命格必须全部为吉3、名字要朗朗上口，最好有文学出处或者美好的寓意4、谢绝电脑软件起名，谢绝免费起名系统起名。谢绝大众名字，如浩轩，梓诺.等......,2017.03.23,2017.08.18,任务编号：486112,￥ 150,218,byt_lei,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】”态舒肤”内衣品牌广告语征集,https://task.epwk.com/486027/,5737人,164人,¥100,圆满完成,单人悬赏,qq710****98,品牌名:态舒肤专卖中老年健康文胸 内衣 内裤 想起个压韵点的广告语  越简越好 但要与品牌贴合,2017.03.23,2017.04.16,任务编号：486027,￥ 100,221,黑猫明明的店铺,https://shop.epwk.com/rp5z4zx6jdx3/,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】大人纸尿裤中英文名称征集,https://task.epwk.com/486001/,2226人,66人,¥200,圆满完成,单人悬赏,糊涂ning,"大人纸尿裤的中文和英文名名称征集。要求：1.能注册第5大类，2.有相关词意的，3.英文名称不超6个字母的，中英文要互相关联知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.03.23,2017.04.23,任务编号：486001,￥ 200,82,乐心传媒工作室,https://shop.epwk.com/z2nkzz662nqy/,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】文胸品牌起名,https://task.epwk.com/485977/,4428人,153人,¥200,圆满完成,单人悬赏,o58d3357d17dc6,要求不超过四个字   主要卖中老年文胸,2017.03.23,2017.04.23,任务编号：485977,￥ 200,195,见证奇迹,https://shop.epwk.com/2j5jjm1k75pz/,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】福州市大运城运动用品有限公司旗下轮滑品牌起名,https://task.epwk.com/485610/,2435人,104人,¥100,圆满完成,单人悬赏,mf158****3598,品牌起名，能代表轮滑行业形象，既有欧式的简约风格又不缺乏中国元素。希望所取名字都能注册运动用品行业既第28类商标、以35类市场销售、服装25类；知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任,2017.03.22,2017.04.10,任务编号：485610,￥ 100,121,o5642f349e0722,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】女鞋商标起名,https://task.epwk.com/485549/,4401人,160人,¥100,圆满完成,单人悬赏,mf138****8733,女鞋商标起名，要求简单易记，符合高端定制风格的 并且要有含义，利于搜索！,2017.03.22,2017.07.23,任务编号：485549,￥ 100,190,十月创意工作室,https://shop.epwk.com/omdwkj3qqdrp/,,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】奶茶店品牌取名,https://task.epwk.com/485479/,6858人,188人,¥150,圆满完成,单人悬赏,佳俊餐饮,我公司现在主营餐饮连锁，名称要符合我的经营主体，好记，顺口，要求发展连锁品牌店也可以用的。名字是要注册商标第30类、32类、43类餐饮类目，35类连锁品牌任务类别：类似奶茶、鲜榨果汁，主要做饮品这个类目，这个要取名知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任,2017.03.21,2017.05.22,任务编号：485479,￥ 150,260,笔下有余创意,https://shop.epwk.com/2j5jj2zo25pz/,,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】征集以感恩二字为藏头的对联,https://task.epwk.com/485226/,4997人,66人,¥100,圆满完成,单人悬赏,土楼感恩庄园,本人在土楼景区经营一庄园，以接待国内外游客为主，名为感恩庄园，现征集以感恩二字为藏头，做一七字对联！希望能寓意诚信经营广招天下客或者以感恩之心待客。,2017.03.20,2017.03.30,任务编号：485226,￥ 100,75,水月涟铖の创意,https://shop.epwk.com/j7n388mko5e1/,,,,,,,,,,,,,,,,,,,,,,,,
